,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,pypi_monthly_downloads,trending,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
167,enaml,nucleic/enaml,Declarative User Interfaces for Python.,,gui-dev,https://github.com/nucleic/enaml,https://github.com/nucleic/enaml,BSD-3-Clause,2013-03-06 21:29:01.000,2022-02-01 16:26:38.253,2022-01-28 17:45:21,2458.0,26.0,121,55.0,258.0,174.0,1151,2021-11-21 17:41:06.000,0.14.0,20.0,35.0,46.0,29,True,enaml,conda-forge/enaml,,77.0,3889.0,278.0,197.0,https://pypi.org/project/enaml,2021-11-21 17:41:06.000,81.0,https://anaconda.org/conda-forge/enaml,2022-02-01 16:26:38.253,98489.0,,,,,2.0,1957.0,,,,,,,,,,
168,redis-py-cluster,grokzen/redis-py-cluster,Python cluster client for the official redis cluster. Redis 3.0+.,,db-clients,https://github.com/Grokzen/redis-py-cluster,https://github.com/Grokzen/redis-py-cluster,MIT,2013-05-21 06:41:34.000,2021-11-11 04:42:52.000,2021-06-25 08:12:31,743.0,,298,52.0,207.0,247.0,1026,2021-05-30 09:23:19.000,2.1.3,19.0,72.0,28.0,29,True,redis-py-cluster,,,2890.0,2181332.0,1236.0,1031.0,https://pypi.org/project/redis-py-cluster,2021-05-30 09:21:45.000,205.0,,,,,,,,3.0,2181299.0,,,,,,,,,,
169,omegaconf,omry/omegaconf,Flexible Python configuration system. The last one you will ever need.,,configuration,https://github.com/omry/omegaconf,https://github.com/omry/omegaconf,BSD-3-Clause,2018-09-03 14:59:01.000,2022-02-01 22:54:06.000,2022-01-30 08:50:06,917.0,22.0,57,16.0,425.0,368.0,1017,2021-08-19 19:57:14.000,2.1.1,130.0,23.0,50.0,29,True,omegaconf,conda-forge/omegaconf,,,1192688.0,3058.0,2988.0,https://pypi.org/project/omegaconf,2021-08-19 19:57:14.000,70.0,https://anaconda.org/conda-forge/omegaconf,2021-11-13 15:52:15.606,458119.0,,,,,3.0,1174364.0,,,,,,,,,,
170,bidict,jab/bidict,The bidirectional mapping library for Python.,,data-structures,https://github.com/jab/bidict,https://github.com/jab/bidict,MPL-2.0,2014-09-23 14:00:27.000,2022-02-03 04:05:23.000,2022-02-03 03:52:19,495.0,34.0,44,13.0,183.0,45.0,995,2021-10-23 20:54:27.000,0.21.4,39.0,11.0,2.0,29,True,bidict,conda-forge/bidict,,,653577.0,6374.0,5973.0,https://pypi.org/project/bidict,2021-10-23 20:52:58.000,401.0,https://anaconda.org/conda-forge/bidict,2021-10-23 23:17:20.723,109357.0,,,,,2.0,651895.0,,,,,,,,,,
171,sshtunnel,pahaz/sshtunnel,SSH tunnels to remote server.,,infrastructure,https://github.com/pahaz/sshtunnel,https://github.com/pahaz/sshtunnel,MIT,2014-06-11 21:14:05.000,2021-12-26 18:57:42.000,2021-01-11 13:12:20,381.0,,149,27.0,88.0,134.0,926,2021-01-11 13:28:44.000,0.4.0,28.0,23.0,36.0,29,False,sshtunnel,conda-forge/sshtunnel,,,1672408.0,3270.0,3026.0,https://pypi.org/project/sshtunnel,2021-01-11 13:26:29.000,244.0,https://anaconda.org/conda-forge/sshtunnel,2021-11-08 08:54:58.940,78606.0,,,,,3.0,1671199.0,,,,,,,,,,
172,anyio,agronholm/anyio,High level asynchronous concurrency and networking framework that works on top of either trio or asyncio.,,async,https://github.com/agronholm/anyio,https://github.com/agronholm/anyio,MIT,2018-08-19 21:07:18.000,2022-01-31 23:50:00.000,2022-01-11 08:42:11,660.0,30.0,60,20.0,181.0,193.0,792,2022-01-11 08:44:09.000,3.5.0,40.0,26.0,30.0,29,True,anyio,conda-forge/anyio,,,7602498.0,153.0,,https://pypi.org/project/anyio,2022-01-11 08:44:09.000,153.0,https://anaconda.org/conda-forge/anyio,2022-01-11 11:09:19.361,1086978.0,,,,,2.0,7565016.0,,,,,,,,,,
173,Intake,intake/intake,"Intake is a lightweight package for finding, investigating, loading and disseminating data.",,data-loading,https://github.com/intake/intake,https://github.com/intake/intake,BSD-2-Clause,2017-08-14 20:44:22.000,2022-02-02 22:00:41.000,2022-02-02 22:00:41,1780.0,34.0,113,41.0,354.0,215.0,685,2022-01-09 22:33:59.000,0.6.5,24.0,69.0,85.0,29,True,intake,conda-forge/intake,,,19313.0,426.0,333.0,https://pypi.org/project/intake,2022-01-09 22:33:59.000,93.0,https://anaconda.org/conda-forge/intake,2022-01-10 03:38:28.358,130707.0,,,,,2.0,15962.0,,,,,,,,,,
174,inflect,jaraco/inflect,"Correctly generate plurals, ordinals, indefinite articles; convert numbers to words.",,text,https://github.com/jaraco/inflect,https://github.com/jaraco/inflect,MIT,2010-06-20 13:43:13.000,2022-02-01 07:34:47.456,2022-02-01 03:10:30,711.0,28.0,71,19.0,64.0,67.0,610,2022-02-01 03:14:17.000,5.4.0,34.0,38.0,15.0,29,True,inflect,conda-forge/inflect,,,1380763.0,875.0,,https://pypi.org/project/inflect,2022-02-01 03:14:04.000,875.0,https://anaconda.org/conda-forge/inflect,2022-02-01 07:34:47.456,193459.0,,,,,3.0,1377428.0,,,,,,,,,,
175,natsort,SethMMorton/natsort,Simple yet flexible natural sorting in Python.,,utilities,https://github.com/SethMMorton/natsort,https://github.com/SethMMorton/natsort,MIT,2012-05-03 02:58:47.000,2022-01-31 13:45:01.165,2022-01-31 03:19:44,939.0,26.0,32,13.0,70.0,74.0,603,2022-01-31 03:20:42.000,8.1.0,55.0,19.0,,29,True,natsort,conda-forge/natsort,,,2223472.0,10690.0,9743.0,https://pypi.org/project/natsort,2022-01-31 03:20:42.000,947.0,https://anaconda.org/conda-forge/natsort,2022-01-31 13:45:01.165,550801.0,,,,,3.0,2214137.0,,,,,,,,,,
176,ConfigArgParse,bw2/ConfigArgParse,A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables.,,cli-helpers,https://github.com/bw2/ConfigArgParse,https://github.com/bw2/ConfigArgParse,MIT,2014-06-25 00:27:02.000,2021-12-21 15:39:14.000,2021-10-06 13:53:24,314.0,,96,12.0,82.0,119.0,578,2021-10-03 23:08:01.000,1.5.3,26.0,48.0,62.0,29,True,configargparse,conda-forge/configargparse,,,1555019.0,8091.0,6688.0,https://pypi.org/project/configargparse,2021-10-03 00:17:22.000,1403.0,https://anaconda.org/conda-forge/configargparse,2021-10-04 14:51:00.922,250426.0,,,,,3.0,1551225.0,,,,,,,,,,
177,Gooey,chriskiehl/Gooey,Turn (almost) any Python command line program into a full GUI application with one line.,,gui-dev,https://github.com/chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,MIT,2014-01-01 21:06:05.000,2022-02-03 11:16:07.000,2022-01-29 23:38:50,740.0,8.0,823,277.0,272.0,420.0,15317,2021-06-12 18:51:56.000,1.0.8.1,58.0,102.0,113.0,28,True,gooey,conda-forge/gooey,,177.0,5547.0,556.0,490.0,https://pypi.org/project/gooey,2022-01-29 23:10:33.000,66.0,https://anaconda.org/conda-forge/gooey,2021-12-29 23:17:46.447,42467.0,,,,,3.0,4255.0,,,,,,,,,,
178,Typer,tiangolo/typer,"Typer, build great CLIs. Easy to code. Based on Python type hints.",,cli-helpers,https://github.com/tiangolo/typer,https://github.com/tiangolo/typer,MIT,2019-12-24 12:24:11.000,2021-11-26 15:40:09.000,2021-08-30 09:02:44,277.0,,261,60.0,131.0,96.0,7148,2021-08-30 08:58:56.000,0.4.0,19.0,9.0,149.0,28,True,typer,conda-forge/typer,,,4524752.0,817.0,,https://pypi.org/project/typer,2021-08-30 08:58:56.000,817.0,https://anaconda.org/conda-forge/typer,2021-08-30 12:33:31.060,334265.0,,,,,3.0,4509559.0,,,,,,,,,,
179,hydra,facebookresearch/hydra,Hydra is a framework for elegantly configuring complex applications.,,configuration,https://github.com/facebookresearch/hydra,https://github.com/facebookresearch/hydra,MIT,2019-06-12 19:33:15.000,2022-02-03 02:24:03.000,2022-02-03 01:53:24,1623.0,42.0,433,82.0,1018.0,867.0,5437,2021-08-19 20:51:08.000,1.1.1,17.0,84.0,124.0,28,True,hydra,conda-forge/hydra-core,,,24476.0,11.0,5.0,https://pypi.org/project/hydra,2016-08-03 13:21:51.000,6.0,https://anaconda.org/conda-forge/hydra-core,2021-08-20 04:26:32.575,350104.0,,,,,3.0,9889.0,,,,,,,,,,
180,pendulum,sdispater/pendulum,Python datetimes made easy.,,date-time-utils,https://github.com/sdispater/pendulum,https://github.com/sdispater/pendulum,MIT,2016-06-27 23:37:53.000,2022-02-02 21:30:16.000,2022-01-18 23:23:13,728.0,22.0,264,63.0,189.0,230.0,4685,2020-07-24 18:17:05.000,2.1.2,52.0,71.0,209.0,28,True,pendulum,conda-forge/pendulum,,,7495.0,850.0,,https://pypi.org/project/pendulum,2020-07-24 18:16:40.000,850.0,https://anaconda.org/conda-forge/pendulum,2020-11-08 21:57:25.850,419762.0,,,,,3.0,,,,,,,,,,,
181,flexx,flexxui/flexx,Write desktop and web apps in pure Python.,,gui-dev,https://github.com/flexxui/flexx,https://github.com/flexxui/flexx,BSD-2-Clause,2014-09-03 08:38:00.000,2022-01-26 13:07:45.000,2021-09-16 11:35:28,1934.0,,251,148.0,288.0,346.0,2869,2021-09-16 11:36:30.000,0.8.3,16.0,37.0,84.0,28,True,flexx,conda-forge/flexx,,,2072.0,121.0,100.0,https://pypi.org/project/flexx,2021-09-16 11:36:30.000,21.0,https://anaconda.org/conda-forge/flexx,2021-09-16 19:11:47.303,84922.0,,,,,3.0,805.0,,,,,,,,,,
182,clint,kennethreitz-archive/clint,Python Command-line Application Tools.,,cli-helpers,https://github.com/kennethreitz-archive/clint,https://github.com/kennethreitz-archive/clint,ISC,2010-10-12 02:40:00.000,2021-07-31 05:54:17.000,2017-09-02 04:38:47,372.0,,226,3.0,111.0,41.0,2480,2015-08-25 16:13:43.000,0.5.1,17.0,64.0,32.0,28,False,clint,conda-forge/clint,,100.0,180498.0,4759.0,3448.0,https://pypi.org/project/clint,2015-08-25 16:11:19.000,1311.0,https://anaconda.org/conda-forge/clint,2018-07-09 09:37:09.782,40919.0,,,,,3.0,179904.0,,,,,,,,,,
183,pandas-datareader,pydata/pandas-datareader,Extract data from a wide range of Internet sources into a pandas DataFrame.,,data-loading,https://github.com/pydata/pandas-datareader,https://github.com/pydata/pandas-datareader,BSD-3-Clause,2015-01-15 00:34:19.000,2022-01-07 17:48:19.000,2022-01-07 17:48:19,807.0,2.0,556,132.0,434.0,392.0,2223,2021-07-13 12:38:57.000,0.10.0,22.0,84.0,95.0,28,True,pandas-datareader,conda-forge/pandas-datareader,,,274513.0,794.0,,https://pypi.org/project/pandas-datareader,2021-07-13 12:38:57.000,794.0,https://anaconda.org/conda-forge/pandas-datareader,2021-07-14 09:19:08.289,159397.0,,,,,3.0,271765.0,,,,,,,,,,
184,addict,mewwts/addict,The Python Dict thats better than heroin.,,data-structures,https://github.com/mewwts/addict,https://github.com/mewwts/addict,MIT,2014-12-10 06:55:25.000,2021-11-13 15:52:14.136,2021-01-05 07:16:38,229.0,,126,55.0,70.0,64.0,2172,2020-11-21 16:21:29.000,2.4.0,31.0,31.0,9.0,28,False,addict,conda-forge/addict,,16.0,970960.0,2584.0,2280.0,https://pypi.org/project/addict,2020-11-21 16:21:29.000,304.0,https://anaconda.org/conda-forge/addict,2021-11-13 15:52:14.136,241648.0,,,,,2.0,967354.0,,,,,,,,,,
185,python-dependency-injector,ets-labs/python-dependency-injector,Dependency injection framework for Python.,,utilities,https://github.com/ets-labs/python-dependency-injector,https://github.com/ets-labs/python-dependency-injector,BSD-3-Clause,2015-01-04 13:23:05.000,2022-01-31 05:33:37.000,2022-01-31 04:28:11,1958.0,12.0,123,42.0,166.0,321.0,1873,2022-01-31 05:33:37.000,4.38.0,284.0,22.0,57.0,28,True,dependency-injector,conda-forge/dependency_injector,,,457.0,854.0,804.0,https://pypi.org/project/dependency-injector,2022-01-31 05:33:37.000,50.0,https://anaconda.org/conda-forge/dependency_injector,2021-11-08 16:54:50.075,2289.0,,,,,3.0,,,,,,,,,,,
186,mongo-connector,yougov/mongo-connector,MongoDB data stream pipeline tools by YouGov (adopted from MongoDB).,,db-clients,https://github.com/yougov/mongo-connector,https://github.com/yougov/mongo-connector,Apache-2.0,2012-08-09 23:39:36.000,2021-12-23 16:42:55.000,2018-12-05 18:23:06,1112.0,,463,102.0,184.0,505.0,1833,2018-12-05 19:18:21.000,3.1.1,51.0,62.0,242.0,28,False,mongo-connector,,,,8606.0,153.0,117.0,https://pypi.org/project/mongo-connector,2018-12-05 19:18:21.000,36.0,,,,,,,,3.0,8606.0,,,,,,,,,,
