,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,conda_dependent_project_count,labels,updated_github_id,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
185,wcwidth,jquast/wcwidth,Python library that measures the width of unicode strings rendered to a terminal.,,cli-helpers,https://github.com/jquast/wcwidth,https://github.com/jquast/wcwidth,MIT,2014-04-05 09:57:11.000,2022-03-06 13:12:49.000,2021-09-28 20:21:42,223.0,,41,12.0,28.0,12.0,20.0,274,2020-06-23 16:10:28.000,0.2.5,17.0,11.0,29,True,wcwidth,conda-forge/wcwidth,,,22179563.0,266741.0,253594.0,https://pypi.org/project/wcwidth,2020-06-23 16:10:28.000,13147.0,22058168.0,https://anaconda.org/conda-forge/wcwidth,2020-09-24 16:45:20.691,9104666.0,,,,,3.0,,,,,,,,,,,
186,configobj,DiffSK/configobj,Python 3+ compatible port of the configobj library.,,configuration,https://github.com/DiffSK/configobj,https://github.com/DiffSK/configobj,BSD-3-Clause,2014-01-14 02:30:17.000,2022-02-06 05:38:57.000,2020-10-14 22:37:57,309.0,,63,15.0,78.0,68.0,71.0,265,2016-08-26 14:28:03.000,5.0.6,16.0,22.0,29,False,configobj,conda-forge/configobj,,,1549009.0,21115.0,17775.0,https://pypi.org/project/configobj,2014-08-26 01:16:32.000,3340.0,1540988.0,https://anaconda.org/conda-forge/configobj,2018-07-29 15:42:19.501,352952.0,,,,,3.0,,,,,,,,,,,
187,pathlib2,jazzband/pathlib2,Backport of pathlib aiming to support the full stdlib Python API.,,compatibility,https://github.com/jazzband/pathlib2,https://github.com/jazzband/pathlib2,MIT,2014-10-18 08:28:33.000,2022-02-11 13:12:25.817,2022-02-10 18:16:02,489.0,15.0,21,2.0,44.0,3.0,36.0,69,2022-02-08 12:42:21.000,2.3.7,15.0,14.0,29,False,pathlib2,conda-forge/pathlib2,,,5447547.0,47712.0,43431.0,https://pypi.org/project/pathlib2,2022-02-10 18:01:07.000,4281.0,5419286.0,https://anaconda.org/conda-forge/pathlib2,2022-02-11 13:12:25.817,1921788.0,,,,,3.0,,,,,,,,,,,
188,importlib-resources,python/importlib_resources,Read resources from Python packages.,,inspect,https://github.com/python/importlib_resources,https://github.com/python/importlib_resources,Apache-2.0,2018-06-07 13:52:28.873,2022-02-11 02:59:34.000,2022-02-11 02:59:30,607.0,13.0,11,5.0,33.0,7.0,207.0,22,2021-10-30 14:51:09.000,5.4.0,47.0,21.0,29,False,importlib-resources,conda-forge/importlib_resources,,,33522795.0,493.0,,https://pypi.org/project/importlib-resources,2021-10-30 14:50:58.000,493.0,33467060.0,https://anaconda.org/conda-forge/importlib_resources,2021-11-26 20:44:29.432,2508092.0,,,,,2.0,,,,,,,,,,,
189,Gooey,chriskiehl/Gooey,Turn (almost) any Python command line program into a full GUI application with one line.,,gui-dev,https://github.com/chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,MIT,2014-01-01 21:06:05.000,2022-02-14 17:56:28.000,2022-02-04 02:57:42,741.0,8.0,823,276.0,273.0,113.0,439.0,15522,2021-06-12 18:51:56.000,1.0.8.1,58.0,102.0,28,True,gooey,conda-forge/gooey,,199.0,5934.0,575.0,509.0,https://pypi.org/project/gooey,2022-01-29 23:10:33.000,66.0,4659.0,https://anaconda.org/conda-forge/gooey,2021-12-29 23:17:46.447,43161.0,,,,,3.0,,,,,,,,,,,
190,PDFMiner,euske/pdfminer,Python PDF Parser (Not actively maintained). Check out pdfminer.six.,,data-loading,https://github.com/euske/pdfminer,https://github.com/euske/pdfminer,MIT,2010-12-12 12:50:22.000,2021-12-15 14:45:46.670,2020-01-18 07:00:32,540.0,,1078,221.0,80.0,231.0,42.0,4763,,,26.0,28.0,28,False,pdfminer,conda-forge/pdfminer,,,167969.0,3625.0,2835.0,https://pypi.org/project/pdfminer,2021-12-15 14:45:46.670,790.0,167660.0,https://anaconda.org/conda-forge/pdfminer,2021-02-15 15:07:18.804,20743.0,,,,,3.0,,,,,,,,,,,
191,textract,deanmalmgren/textract,extract text from any document. no muss. no fuss.,,data-loading,https://github.com/deanmalmgren/textract,https://github.com/deanmalmgren/textract,MIT,2014-07-03 20:36:59.000,2022-03-10 10:49:30.000,2022-03-10 10:33:50,585.0,6.0,483,84.0,209.0,87.0,127.0,3208,2022-03-10 10:49:30.000,1.6.5,18.0,40.0,28,True,textract,conda-forge/textract,,,72149.0,116.0,,https://pypi.org/project/textract,2022-03-10 10:49:30.000,116.0,71947.0,https://anaconda.org/conda-forge/textract,2021-08-22 03:37:29.204,13373.0,,,,,3.0,,,,,,,,,,,
192,asciimatics,peterbrittain/asciimatics,"A cross platform package to do curses-like operations, plus higher level APIs and widgets to create text UIs and ASCII..",,cli-helpers,https://github.com/peterbrittain/asciimatics,https://github.com/peterbrittain/asciimatics,Apache-2.0,2015-04-15 20:18:41.000,2022-02-21 00:45:38.000,2022-02-21 00:44:46,1064.0,9.0,219,63.0,74.0,22.0,251.0,2952,2021-04-05 16:37:38.000,1.13.0,22.0,38.0,28,True,asciimatics,conda-forge/asciimatics,,,17712.0,714.0,608.0,https://pypi.org/project/asciimatics,2021-04-05 16:32:43.000,106.0,15850.0,https://anaconda.org/conda-forge/asciimatics,2021-11-15 19:07:13.401,87514.0,,,,,3.0,,,,,,,,,,,
193,pandas-datareader,pydata/pandas-datareader,Extract data from a wide range of Internet sources into a pandas DataFrame.,,data-loading,https://github.com/pydata/pandas-datareader,https://github.com/pydata/pandas-datareader,BSD-3-Clause,2015-01-15 00:34:19.000,2022-01-07 17:48:19.000,2022-01-07 17:48:19,807.0,2.0,561,132.0,434.0,97.0,392.0,2251,2021-07-13 12:38:57.000,0.10.0,22.0,84.0,28,True,pandas-datareader,conda-forge/pandas-datareader,,,255158.0,794.0,,https://pypi.org/project/pandas-datareader,2021-07-13 12:38:57.000,794.0,252417.0,https://anaconda.org/conda-forge/pandas-datareader,2021-07-14 09:19:08.289,161742.0,,,,,3.0,,,,,,,,,,,
194,addict,mewwts/addict,The Python Dict thats better than heroin.,,data-structures,https://github.com/mewwts/addict,https://github.com/mewwts/addict,MIT,2014-12-10 06:55:25.000,2021-11-13 15:52:14.136,2021-01-05 07:16:38,229.0,,126,54.0,70.0,9.0,64.0,2186,2020-11-21 16:21:29.000,2.4.0,31.0,31.0,28,False,addict,conda-forge/addict,,16.0,1061970.0,2715.0,2411.0,https://pypi.org/project/addict,2020-11-21 16:21:29.000,304.0,1058332.0,https://anaconda.org/conda-forge/addict,2021-11-13 15:52:14.136,247432.0,,,,,2.0,,,,,,,,,,,
195,glom,mahmoud/glom,"Pythons nested data operator (and CLI), for all your declarative restructuring needs. Got data? Glom it!.",,data-structures,https://github.com/mahmoud/glom,https://github.com/mahmoud/glom,BSD-3-Clause,2018-04-18 06:03:24.000,2022-02-10 06:22:24.000,2022-01-24 09:44:42,945.0,37.0,50,21.0,91.0,95.0,65.0,1492,2020-11-04 06:18:34.000,20.11.0,21.0,19.0,28,True,glom,conda-forge/glom,,,675402.0,464.0,388.0,https://pypi.org/project/glom,2022-01-24 09:34:02.000,76.0,675111.0,https://anaconda.org/conda-forge/glom,2020-11-11 00:05:15.875,8740.0,,,,,2.0,,,,,,,,,,,
