,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,conda_dependent_project_count,trending,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url
281,validr,guyskk/validr,"A simple, fast, extensible python library for data validation.",,data-validation,https://github.com/guyskk/validr,https://github.com/guyskk/validr,MIT,2015-09-05 05:47:04.000,2021-07-12 08:04:42.000,2021-07-12 08:04:42.000,11.0,20.0,208.0,2021-03-10 16:40:20.000,1.2.1,23.0,7.0,1.0,18,True,371.0,,validr,,10348.0,4.0,,https://pypi.org/project/validr,2021-03-10 16:40:20.000,4.0,10348.0,,,,3.0,,,,,,,,
282,importlib-resources,python/importlib_resources,Read resources from Python packages.,,inspect,https://github.com/python/importlib_resources,https://github.com/python/importlib_resources,Apache-2.0,2020-10-21 21:02:58.000,2021-10-10 00:50:00.000,2021-10-10 00:45:15.000,8.0,204.0,17.0,2021-10-10 00:49:59.000,5.0.7,44.0,20.0,4.0,18,False,,,importlib-resources,,15333732.0,0.0,,https://pypi.org/project/importlib-resources,2021-07-30 21:08:00.000,0.0,15333732.0,,,,3.0,,,,,,,,
283,Phoenix,wxWidgets/Phoenix,"wxPython's Project Phoenix. A new implementation of wxPython, better, stronger, faster than he was before.",,gui-dev,https://github.com/wxWidgets/Phoenix,https://github.com/wxWidgets/Phoenix,,2012-07-17 06:22:25.000,2021-10-08 12:26:27.000,2021-01-29 23:51:05.000,431.0,796.0,1665.0,2018-03-23 21:06:34.000,wxPython-4.0.0,2.0,101.0,452.0,17,False,5165.0,,,1760.0,40.0,,,,,,,,,,3.0,,,,,,,,
284,excalibur,camelot-dev/excalibur,A web interface to extract tabular data from PDFs.,,data-loading,https://github.com/camelot-dev/excalibur,https://github.com/camelot-dev/excalibur,MIT,2018-10-20 11:34:49.000,2021-06-25 15:46:27.000,2020-09-07 18:32:58.000,158.0,38.0,1026.0,2020-07-17 16:16:44.000,0.4.3,9.0,11.0,73.0,17,False,236.0,,excalibur-py,8020.0,1054.0,,,https://pypi.org/project/excalibur-py,2020-03-21 11:40:49.000,,832.0,,,,3.0,,,,,,,,
285,lazydata,rstojnic/lazydata,Lazydata: Scalable data dependencies for Python projects.,,db-clients,https://github.com/rstojnic/lazydata,https://github.com/rstojnic/lazydata,Apache-2.0,2018-08-21 12:44:27.000,2019-02-13 18:15:09.000,2018-10-12 11:40:26.000,24.0,6.0,629.0,2018-09-18 21:25:30.000,1.0.19,19.0,6.0,7.0,17,False,216.0,,lazydata,,26.0,10.0,8.0,https://pypi.org/project/lazydata,2018-09-18 21:25:30.000,2.0,26.0,,,,3.0,,,,,,,,
286,PugSQL,mcfunley/pugsql,A HugSQL-inspired database library for Python.,,db-clients,https://github.com/mcfunley/pugsql,https://github.com/mcfunley/pugsql,Apache-2.0,2019-05-19 16:55:38.000,2021-09-27 22:00:35.000,2021-03-31 15:36:33.000,17.0,20.0,457.0,2020-09-13 06:06:09.000,0.2.3,24.0,11.0,15.0,17,True,256.0,,pugsql,,4380.0,1.0,,https://pypi.org/project/pugsql,2020-09-13 06:06:09.000,1.0,4380.0,,,,3.0,,,,,,,,
287,grumpy,google/grumpy,Grumpy is a Python to Go source code transcompiler and runtime.,,python-implementations,https://github.com/google/grumpy,https://github.com/google/grumpy,Apache-2.0,2016-12-21 17:49:01.000,2020-03-27 17:26:46.000,2017-11-22 02:08:58.000,657.0,77.0,10382.0,,,,30.0,81.0,16,False,331.0,,,,,,,,,,,,,,3.0,,,,,,,,
288,SuperSQLite,plasticityai/supersqlite,A supercharged SQLite library for Python.,,db-clients,https://github.com/plasticityai/supersqlite,https://github.com/plasticityai/supersqlite,MIT,2018-11-09 08:20:26.000,2020-05-09 09:06:06.000,2019-08-27 13:16:09.000,21.0,1.0,681.0,2018-11-22 02:36:13.000,0.0.78,57.0,2.0,5.0,16,False,221.0,,supersqlite,,209.0,9.0,9.0,https://pypi.org/project/supersqlite,2018-11-22 02:36:46.000,0.0,209.0,,,,3.0,,,,,,,,
289,csvs-to-sqlite,simonw/csvs-to-sqlite,Convert CSV files into a SQLite database.,,data-loading,https://github.com/simonw/csvs-to-sqlite,https://github.com/simonw/csvs-to-sqlite,Apache-2.0,2017-11-13 06:38:21.000,2021-01-06 00:10:58.000,2020-11-03 23:27:20.000,46.0,28.0,648.0,2020-11-03 23:27:47.000,1.2,15.0,5.0,30.0,16,True,76.0,,csvs-to-sqlite,,2257.0,4.0,,https://pypi.org/project/csvs-to-sqlite,2020-11-03 23:29:03.000,4.0,2257.0,,,,3.0,,,,,,,,
290,price-parser,scrapinghub/price-parser,Extract price amount and currency symbol from a raw text string.,,text,https://github.com/scrapinghub/price-parser,https://github.com/scrapinghub/price-parser,BSD-3-Clause,2019-04-11 18:27:30.000,2021-02-22 07:12:02.000,2020-11-25 09:45:42.000,34.0,8.0,200.0,2020-11-25 09:35:49.000,0.3.4,12.0,12.0,19.0,16,True,96.0,,price-parser,,,108.0,108.0,https://pypi.org/project/price-parser,2020-11-25 09:35:49.000,0.0,,,,,3.0,,,,,,,,
291,millify,azaitsev/millify,Convert long numbers into a human-readable format in Python.,,text,https://github.com/azaitsev/millify,https://github.com/azaitsev/millify,MIT,2018-01-15 01:27:12.000,2021-10-04 19:28:16.000,2018-01-15 02:44:36.000,8.0,,44.0,2018-01-15 02:19:08.000,0.1.1,1.0,1.0,1.0,16,False,5.0,,millify,,49773.0,120.0,116.0,https://pypi.org/project/millify,2018-01-15 02:19:08.000,4.0,49773.0,,,,3.0,,,,,,,,
292,typical,seandstewart/typical,"Typical: Fast, simple, & correct data-validation using Python 3 typing.",,data-validation,https://github.com/seandstewart/typical,https://github.com/seandstewart/typical,MIT,2019-03-15 01:24:36.000,2021-10-11 14:24:10.000,2021-10-11 14:17:32.000,7.0,80.0,131.0,2021-10-11 14:24:10.000,2.7.4,106.0,5.0,12.0,15,True,,,typical,,4583.0,2.0,,https://pypi.org/project/typical,2021-10-11 14:24:10.000,2.0,4583.0,,,,3.0,,,,,,,,
293,wssh,aluzzardi/wssh,SSH to WebSockets Bridge.,,infrastructure,https://github.com/aluzzardi/wssh,https://github.com/aluzzardi/wssh,MIT,2012-07-24 05:26:41.000,2019-02-12 13:08:18.000,2016-10-11 00:37:04.000,275.0,5.0,1308.0,,,,9.0,26.0,14,False,34.0,,,,,7.0,7.0,,,,,,,,3.0,,,,,,,,
294,colout,nojhan/colout,Color text streams with a polished command line interface.,,cli-helpers,https://github.com/nojhan/colout,https://github.com/nojhan/colout,GPL-3.0,2012-03-31 10:39:00.000,2020-08-13 16:59:05.000,2020-08-02 07:43:02.000,56.0,56.0,1050.0,2020-06-21 20:04:58.000,0.12.1,6.0,29.0,11.0,14,False,247.0,,colout,,,2.0,2.0,https://pypi.org/project/colout,2020-06-21 20:04:58.000,,,,,,3.0,,,,,,,,
295,psycopg3,psycopg/psycopg3,New generation PostgreSQL database adapter for the Python programming language.,,db-clients,https://github.com/psycopg/psycopg,https://github.com/psycopg/psycopg,LGPL-3.0,2020-03-15 04:15:53.000,2021-10-14 09:37:05.000,2021-10-14 09:36:14.000,26.0,49.0,463.0,,,,8.0,9.0,13,True,1507.0,,,,,,,,,,,,,,3.0,psycopg/psycopg,,,,,,,
296,cleverdict,PFython/cleverdict,A JSON-friendly data structure which allows both object attributes and dictionary keys and values to be used..,,data-structures,https://github.com/PFython/cleverdict,https://github.com/PFython/cleverdict,MIT,2020-06-20 05:07:58.000,2021-07-06 16:14:01.000,2021-02-05 14:00:03.000,5.0,11.0,83.0,2021-02-05 14:01:42.000,1.9.1,27.0,2.0,8.0,13,False,182.0,,cleverdict,,,11.0,11.0,https://pypi.org/project/cleverdict,2021-02-05 13:58:12.000,0.0,,,,,3.0,,,,,,,,
297,stackless,stackless-dev/stackless,The Stackless Python programming language.,,python-implementations,https://github.com/stackless-dev/stackless,https://github.com/stackless-dev/stackless,,2017-09-05 14:36:10.000,2021-09-18 11:33:53.000,2021-08-11 18:33:11.000,52.0,255.0,755.0,,,,999.0,11.0,11,False,,,,,,,,,,,,,,,3.0,,,,,,,,
298,cl-python,metawilm/cl-python,An implementation of Python in Common Lisp.,,python-implementations,https://github.com/metawilm/cl-python,https://github.com/metawilm/cl-python,,2009-05-14 18:00:17.000,2020-04-15 08:28:06.000,2020-04-15 08:28:04.000,31.0,13.0,326.0,,,,12.0,3.0,11,False,1489.0,,,,,,,,,,,,,,3.0,,,,,,,,
