,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,updated_github_id,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
40,python-magic,ahupp/python-magic,A python wrapper for libmagic.,,data-loading,https://github.com/ahupp/python-magic,https://github.com/ahupp/python-magic,MIT,2010-03-31 22:40:33.000000,2021-10-04 23:04:37.000000,2021-10-04 23:04:28.000000,221.0,28.0,137.0,1968.0,2021-06-03 13:49:22.000000,0.4.24,24.0,52.0,33,True,296.0,conda-forge/python-magic,python-magic,,3270465.0,24662.0,19530.0,https://pypi.org/project/python-magic,2021-06-03 13:49:22.000000,5132.0,3268538.0,https://anaconda.org/conda-forge/python-magic,2021-06-08 01:31:24.543000,104061.0,1.0,,,,,,,,,,
41,decorator,micheles/decorator,Decorators for Humans.,,others,https://github.com/micheles/decorator,https://github.com/micheles/decorator,BSD-2-Clause,2013-11-24 05:55:49.000000,2021-10-14 14:08:41.000000,2021-10-14 14:08:41.000000,84.0,2.0,85.0,614.0,2021-09-11 05:30:14.000000,5.1.0,37.0,25.0,33,True,372.0,conda-forge/decorator,decorator,,41685698.0,293332.0,246860.0,https://pypi.org/project/decorator,2021-09-11 05:30:14.000000,46472.0,41537490.0,https://anaconda.org/conda-forge/decorator,2021-09-11 07:57:08.687000,9337144.0,2.0,,,,,,,,,,
42,s3transfer,boto/s3transfer,Amazon S3 Transfer Manager for Python.,,db-clients,https://github.com/boto/s3transfer,https://github.com/boto/s3transfer,Apache-2.0,2016-01-12 23:19:42.000000,2021-10-16 15:47:12.000000,2021-10-15 17:57:21.000000,82.0,37.0,29.0,130.0,2021-07-15 19:07:01.000000,0.5.0,29.0,31.0,33,True,510.0,conda-forge/s3transfer,s3transfer,,210221390.0,95547.0,87661.0,https://pypi.org/project/s3transfer,2021-07-15 19:07:01.000000,7886.0,210119030.0,https://anaconda.org/conda-forge/s3transfer,2021-07-15 21:27:06.980000,6448712.0,1.0,,,,,,,,,,
43,python-fire,google/python-fire,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,,cli-helpers,https://github.com/google/python-fire,https://github.com/google/python-fire,Apache-2.0,2017-02-21 21:35:07.000000,2021-09-30 17:11:13.000000,2021-06-17 18:03:13.000000,1171.0,106.0,142.0,20294.0,2021-01-22 18:12:10.000000,0.4.0,9.0,46.0,32,True,259.0,conda-forge/fire,fire,,1575287.0,10554.0,9386.0,https://pypi.org/project/fire,2021-01-22 18:11:49.000000,1168.0,1572550.0,https://anaconda.org/conda-forge/fire,2021-01-22 19:55:20.738000,142343.0,2.0,,,,,,,,,,
44,pydantic,samuelcolvin/pydantic,Data parsing and validation using Python type hints.,,data-validation,https://github.com/samuelcolvin/pydantic,https://github.com/samuelcolvin/pydantic,MIT,2017-05-03 21:23:58.000000,2021-10-18 21:01:44.000000,2021-10-12 21:46:47.000000,704.0,400.0,1233.0,7849.0,2021-05-11 20:28:54.000000,1.8.2,82.0,233.0,32,True,1133.0,conda-forge/pydantic,pydantic,,32255.0,35356.0,34968.0,https://pypi.org/project/pydantic,2021-05-11 20:28:54.000000,388.0,,https://anaconda.org/conda-forge/pydantic,2021-08-31 22:21:19.794000,1064439.0,1.0,,,,,,,,,,
45,docopt,docopt/docopt,"Pythonic command line arguments parser, that will make you smile.",,cli-helpers,https://github.com/docopt/docopt,https://github.com/docopt/docopt,MIT,2012-04-07 17:45:14.000000,2021-06-06 22:58:00.000000,2018-08-27 18:02:16.000000,552.0,251.0,175.0,7468.0,2014-06-16 11:18:57.000000,0.6.2,11.0,31.0,32,False,447.0,conda-forge/docopt,docopt,,7816720.0,77560.0,56310.0,https://pypi.org/project/docopt,2014-06-16 11:18:57.000000,21250.0,7800497.0,https://anaconda.org/conda-forge/docopt,2018-07-06 22:39:53.718000,1070718.0,2.0,,,,,,,,,,
46,paramiko,paramiko/paramiko,The leading native Python SSHv2 protocol library.,,infrastructure,https://github.com/paramiko/paramiko,https://github.com/paramiko/paramiko,LGPL-2.1,2009-02-02 03:41:08.000000,2021-10-18 15:07:24.000000,2021-10-15 23:30:22.000000,1732.0,884.0,598.0,7261.0,2021-10-09 21:45:55.000000,2.8.0,122.0,160.0,32,True,,conda-forge/paramiko,paramiko,,17517483.0,71025.0,48225.0,https://pypi.org/project/paramiko,2021-10-09 21:45:55.000000,22800.0,17496373.0,https://anaconda.org/conda-forge/paramiko,2021-10-13 12:54:20.800000,1287760.0,2.0,,,,,,,,,,
47,supervisor,Supervisor/supervisor,Supervisor process control system for UNIX.,,process-utils,https://github.com/Supervisor/supervisor,https://github.com/Supervisor/supervisor,Repoze Public License,2010-12-08 00:48:48.000000,2021-10-09 07:17:40.000000,2021-10-08 06:02:24.000000,1123.0,126.0,901.0,7032.0,2021-02-26 20:45:53.000000,4.2.2,36.0,157.0,32,True,2325.0,conda-forge/supervisor,supervisor,,778274.0,10179.0,6395.0,https://pypi.org/project/supervisor,2021-02-26 20:45:53.000000,3784.0,775603.0,https://anaconda.org/conda-forge/supervisor,2021-03-04 19:30:40.641000,173672.0,2.0,,,,,,,,,,
48,marshmallow,marshmallow-code/marshmallow,A lightweight library for converting complex objects to and from simple Python datatypes.,,serialization,https://github.com/marshmallow-code/marshmallow,https://github.com/marshmallow-code/marshmallow,MIT,2013-11-10 21:32:24.000000,2021-10-19 20:30:57.000000,2021-10-17 18:34:32.000000,582.0,123.0,965.0,5774.0,2021-10-17 18:36:51.000000,3.14.0,162.0,192.0,32,True,,conda-forge/marshmallow,marshmallow,,9647416.0,52179.0,33997.0,https://pypi.org/project/marshmallow,2021-10-17 18:36:51.000000,18182.0,9634230.0,https://anaconda.org/conda-forge/marshmallow,2021-10-19 03:12:48.477000,804390.0,1.0,,,,,,,,,,
49,kubernetes,kubernetes-client/python,Official Python client library for kubernetes.,,infrastructure,https://github.com/kubernetes-client/python,https://github.com/kubernetes-client/python,Apache-2.0,2016-10-31 20:08:03.000000,2021-10-18 22:57:35.000000,2021-10-18 22:57:34.000000,2266.0,92.0,893.0,4140.0,2021-08-16 22:04:41.000000,18.20.0,61.0,94.0,32,True,991.0,conda-forge/kubernetes,kubernetes,,5718236.0,1356.0,,https://pypi.org/project/kubernetes,2021-10-13 03:58:21.000000,1356.0,5712293.0,https://anaconda.org/conda-forge/kubernetes,2021-06-16 20:30:16.954000,255586.0,2.0,,,,,,,,,,
50,elasticsearch,elastic/elasticsearch-py,Official Elasticsearch client library for Python.,,db-clients,https://github.com/elastic/elasticsearch-py,https://github.com/elastic/elasticsearch-py,Apache-2.0,2013-05-01 22:47:39.000000,2021-10-20 21:12:59.000000,2021-10-20 21:12:53.000000,1062.0,62.0,861.0,3419.0,2021-10-14 16:15:03.000000,7.15.1,82.0,182.0,32,True,,conda-forge/elasticsearch,elasticsearch,753.0,8976581.0,34961.0,24387.0,https://pypi.org/project/elasticsearch,2021-10-14 16:14:39.000000,10574.0,8969355.0,https://anaconda.org/conda-forge/elasticsearch,2021-10-14 20:41:19.701000,458511.0,2.0,,,,,,,,,,
51,cerberus,pyeve/cerberus,"Lightweight, extensible data validation library for Python.",,data-validation,https://github.com/pyeve/cerberus,https://github.com/pyeve/cerberus,ISC,2012-10-10 10:03:49.000000,2021-10-06 12:42:32.000000,2021-05-05 20:47:21.000000,213.0,35.0,289.0,2612.0,2021-05-05 20:38:00.000000,1.3.4,25.0,62.0,32,True,1145.0,conda-forge/cerberus,cerberus,,2100622.0,11688.0,10180.0,https://pypi.org/project/cerberus,2021-05-05 20:38:00.000000,1508.0,2098035.0,https://anaconda.org/conda-forge/cerberus,2019-12-02 01:38:41.849000,160402.0,1.0,,,,,,,,,,
52,Prometheus Client,prometheus/client_python,Prometheus instrumentation library for Python applications.,,db-clients,https://github.com/prometheus/client_python,https://github.com/prometheus/client_python,Apache-2.0,2015-02-10 22:47:25.000000,2021-10-13 07:04:29.000000,2021-09-15 15:56:52.000000,586.0,40.0,333.0,2419.0,2021-06-01 17:39:04.000000,0.11.0,33.0,109.0,32,True,445.0,conda-forge/prometheus_client,prometheus_client,,31130490.0,3738.0,,https://pypi.org/project/prometheus_client,2019-06-20 13:35:09.000000,3738.0,31062721.0,https://anaconda.org/conda-forge/prometheus_client,2021-06-01 22:25:00.505000,4066173.0,2.0,,,,,,,,,,
53,dateparser,scrapinghub/dateparser,python parser for human readable dates.,,date-time-utils,https://github.com/scrapinghub/dateparser,https://github.com/scrapinghub/dateparser,BSD-3-Clause,2014-11-24 17:30:12.000000,2021-10-20 10:00:55.000000,2021-10-18 11:39:37.000000,375.0,267.0,325.0,1892.0,2021-10-04 09:07:18.000000,1.1.0,21.0,105.0,32,True,1429.0,conda-forge/dateparser,dateparser,,3000891.0,10106.0,8692.0,https://pypi.org/project/dateparser,2021-10-04 09:07:18.000000,1414.0,2999886.0,https://anaconda.org/conda-forge/dateparser,2021-10-05 16:43:24.840000,57327.0,2.0,,,,,,,,,,
54,Motor,mongodb/motor,Motor - the async Python driver for MongoDB and Tornado or asyncio.,,db-clients,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44.000000,2021-08-19 20:16:48.000000,2021-08-19 20:16:36.000000,161.0,,,1804.0,2021-08-19 20:21:17.000000,2.5.1,38.0,33.0,32,True,1653.0,conda-forge/motor,motor,,1945246.0,13330.0,11540.0,https://pypi.org/project/motor,2021-08-19 20:14:26.000000,1790.0,1944804.0,https://anaconda.org/conda-forge/motor,2020-11-20 20:00:39.143000,15047.0,2.0,,,,,,,,,,
55,chardet,chardet/chardet,Python character encoding detector.,,text,https://github.com/chardet/chardet,https://github.com/chardet/chardet,LGPL-2.1,2012-07-26 20:30:54.000000,2021-09-07 21:18:56.000000,2021-09-06 16:41:14.000000,213.0,61.0,61.0,1619.0,2020-12-10 19:35:32.000000,4.0.0,12.0,43.0,32,True,347.0,conda-forge/chardet,chardet,,70377716.0,72714.0,,https://pypi.org/project/chardet,2020-12-10 19:35:32.000000,72714.0,70134781.0,https://anaconda.org/conda-forge/chardet,2021-06-28 23:17:42.798000,13604415.0,1.0,,,,,,,,,,
56,emoji,carpedm20/emoji,emoji terminal output for Python.,,cli-helpers,https://github.com/carpedm20/emoji,https://github.com/carpedm20/emoji,BSD-3-Clause,2014-08-18 02:55:59.000000,2021-10-21 14:14:44.000000,2021-10-13 12:20:06.000000,234.0,12.0,95.0,1336.0,2021-10-13 12:24:46.000000,1.6.1,29.0,53.0,32,True,328.0,conda-forge/emoji,emoji,,3022989.0,29757.0,27801.0,https://pypi.org/project/emoji,2021-10-13 12:24:46.000000,1956.0,3022485.0,https://anaconda.org/conda-forge/emoji,2021-10-13 15:55:36.412000,16156.0,2.0,,,,,,,,,,
57,Cassandra Driver,datastax/python-driver,DataStax Python Driver for Apache Cassandra.,,db-clients,https://github.com/datastax/python-driver,https://github.com/datastax/python-driver,Apache-2.0,2013-07-08 19:02:31.000000,2021-10-14 12:40:36.000000,2021-09-17 17:47:48.000000,455.0,10.0,,1260.0,2021-03-18 20:12:10.000000,3.25.0,71.0,178.0,32,True,5958.0,conda-forge/cassandra-driver,cassandra-driver,,1318122.0,4350.0,3164.0,https://pypi.org/project/cassandra-driver,2021-03-18 20:12:10.000000,1186.0,1316437.0,https://anaconda.org/conda-forge/cassandra-driver,2021-09-07 06:07:19.529000,91010.0,2.0,,,,,,,,,,
58,six,benjaminp/six,Python 2 and 3 compatibility library.,,compatibility,https://github.com/benjaminp/six,https://github.com/benjaminp/six,MIT,2016-05-10 07:24:51.054000,2021-09-17 16:49:12.000000,2021-05-05 15:42:19.000000,218.0,108.0,173.0,828.0,2021-05-05 14:18:17.000000,1.16.0,28.0,63.0,32,True,525.0,conda-forge/six,six,,291156.0,1247620.0,1003600.0,https://pypi.org/project/six,2021-05-05 14:18:17.000000,244020.0,,https://anaconda.org/conda-forge/six,2021-05-05 18:46:13.986000,18925193.0,1.0,,,,,,,,,,
59,traitlets,ipython/traitlets,A lightweight Traits like module.,,configuration,https://github.com/ipython/traitlets,https://github.com/ipython/traitlets,BSD-3-Clause,2013-12-06 20:45:45.000000,2021-10-17 13:04:03.000000,2021-09-28 06:57:30.000000,166.0,81.0,153.0,444.0,2021-08-30 19:38:26.000000,5.1.0,25.0,102.0,32,True,,conda-forge/traitlets,traitlets,,24685500.0,208108.0,180084.0,https://pypi.org/project/traitlets,2021-08-30 19:38:26.000000,28024.0,24557460.0,https://anaconda.org/conda-forge/traitlets,2021-09-07 19:15:44.800000,8450658.0,1.0,,2.0,,,,,,,,
60,asn1crypto,wbond/asn1crypto,Python ASN.1 library with a focus on performance and a pythonic API.,,cryptography,https://github.com/wbond/asn1crypto,https://github.com/wbond/asn1crypto,MIT,2015-06-03 18:51:56.000000,2021-10-15 02:00:06.000000,2021-10-15 02:00:03.000000,105.0,28.0,118.0,237.0,2020-07-28 14:18:17.000000,1.4.0,31.0,35.0,32,True,762.0,conda-forge/asn1crypto,asn1crypto,,26031851.0,95884.0,82380.0,https://pypi.org/project/asn1crypto,2020-07-28 14:18:17.000000,13504.0,25916658.0,https://anaconda.org/conda-forge/asn1crypto,2020-07-28 15:28:07.748000,5990043.0,2.0,,,,,,,,,,
