,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,updated_github_id,conda_dependent_project_count,labels,new_addition,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
229,strictyaml,crdoconnor/strictyaml,Type-safe YAML parser and validator.,,data-validation,https://github.com/crdoconnor/strictyaml,https://github.com/crdoconnor/strictyaml,MIT,2016-06-17 10:56:18.000,2022-03-05 09:40:48.000,2021-12-05 13:34:44,738.0,,47,24.0,37.0,76.0,66.0,1021,2021-11-28 18:09:04.000,1.6.1,81.0,19.0,26,True,strictyaml,conda-forge/strictyaml,,,74921.0,733.0,635.0,https://pypi.org/project/strictyaml,2021-11-28 18:09:04.000,98.0,72125.0,https://anaconda.org/conda-forge/strictyaml,2021-11-28 22:19:03.546,134223.0,,,,,3.0,,,,,,,,,,,,
230,questionary,tmbo/questionary,"Python library to build pretty command line user prompts Easy to use multi-select lists, confirmations, free text..",,cli-helpers,https://github.com/tmbo/questionary,https://github.com/tmbo/questionary,MIT,2018-12-01 17:55:17.000,2022-04-21 12:23:58.000,2022-04-20 16:51:23,476.0,17.0,55,18.0,130.0,23.0,72.0,854,2021-07-15 10:11:00.000,1.10.0,20.0,32.0,26,True,questionary,conda-forge/questionary,,,1488244.0,179.0,,https://pypi.org/project/questionary,2021-07-15 10:11:00.000,179.0,1487848.0,https://anaconda.org/conda-forge/questionary,2022-03-14 23:00:39.523,6340.0,,,,,3.0,,,,,,,,,,,,
231,piccolos,piccolo-orm/piccolo,"A fast, user friendly ORM and query builder which supports asyncio.",,db-clients,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26.000,2022-04-16 20:05:45.000,2022-04-16 20:05:41,1510.0,67.0,43,11.0,257.0,45.0,116.0,750,2022-04-13 20:49:43.000,0.74.0,183.0,27.0,26,True,piccolo,,,,2866.0,68.0,61.0,https://pypi.org/project/piccolo,2022-04-13 20:52:21.000,7.0,2866.0,,,,,,,,3.0,,,,,,,,,,,,
232,anytree,c0fec0de/anytree,Python tree data library.,,data-structures,https://github.com/c0fec0de/anytree,https://github.com/c0fec0de/anytree,Apache-2.0,2016-08-27 09:42:38.000,2022-03-11 12:42:37.000,2020-02-20 19:54:46,393.0,,103,23.0,44.0,33.0,116.0,681,2020-01-15 01:22:23.000,2.8.0,26.0,17.0,26,False,anytree,conda-forge/anytree,,,572238.0,195.0,,https://pypi.org/project/anytree,2020-01-15 01:22:23.000,195.0,571658.0,https://anaconda.org/conda-forge/anytree,2020-04-19 21:51:50.756,13942.0,,,,,3.0,,,,,,,,,,,,
233,aiocache,aio-libs/aiocache,"Asyncio cache manager for redis, memcached and memory.",,caching,https://github.com/aio-libs/aiocache,https://github.com/aio-libs/aiocache,BSD-3-Clause,2016-09-30 09:25:51.000,2022-04-12 07:43:31.000,2022-03-14 21:59:44,445.0,3.0,102,17.0,326.0,50.0,205.0,658,2020-10-14 10:18:49.000,0.11.1,40.0,31.0,26,True,aiocache,,,,117324.0,846.0,752.0,https://pypi.org/project/aiocache,2019-07-31 05:46:03.000,94.0,117324.0,,,,,,,,3.0,,,,,,,,,,,,
234,janus,aio-libs/janus,Thread-safe asyncio-aware queue for Python.,,data-structures,https://github.com/aio-libs/janus,https://github.com/aio-libs/janus,Apache-2.0,2015-06-08 15:45:28.000,2022-04-15 04:26:31.000,2022-04-15 04:26:31,547.0,23.0,33,20.0,382.0,2.0,32.0,590,2021-12-17 09:06:26.000,1.0.0,18.0,23.0,26,True,janus,conda-forge/janus,,,249016.0,92.0,,https://pypi.org/project/janus,2021-12-17 09:00:32.000,92.0,248768.0,https://anaconda.org/conda-forge/janus,2021-12-17 16:01:40.259,8465.0,,,,,3.0,,,,,,,,,,,,
235,HappyBase,python-happybase/happybase,A developer-friendly Python library to interact with Apache HBase.,,db-clients,https://github.com/python-happybase/happybase,https://github.com/python-happybase/happybase,MIT,2012-05-20 20:06:10.000,2021-04-25 18:43:44.000,2021-02-08 18:27:40,284.0,,153,37.0,47.0,30.0,183.0,579,2019-05-14 14:17:26.000,1.2.0,12.0,19.0,26,False,happybase,conda-forge/happybase,,,82261.0,839.0,613.0,https://pypi.org/project/happybase,2019-05-14 14:17:26.000,226.0,81154.0,https://anaconda.org/conda-forge/happybase,2019-07-01 13:37:04.756,77556.0,,,,,3.0,,,,,,,,,,,,
236,Copier,copier-org/copier,Library and command-line utility for rendering projects templates.,,others,https://github.com/copier-org/copier,https://github.com/copier-org/copier,MIT,2011-11-01 19:22:44.000,2022-04-21 12:25:08.000,2022-04-20 08:07:29,838.0,57.0,59,18.0,348.0,33.0,221.0,526,2020-08-17 07:47:05.000,5.1.0,46.0,31.0,26,True,copier,,,,9676.0,71.0,64.0,https://pypi.org/project/copier,2022-04-14 05:50:02.000,7.0,9676.0,,,,,,,,3.0,,,,,True,,,,,,,
237,umongo,Scille/umongo,"sync/async MongoDB ODM, yes.",,db-clients,https://github.com/Scille/umongo,https://github.com/Scille/umongo,MIT,2016-03-09 16:34:42.000,2021-12-23 11:43:01.519,2021-12-23 08:38:05,810.0,,64,18.0,181.0,41.0,155.0,401,2021-10-16 08:20:21.000,3.0.1,53.0,15.0,26,True,umongo,conda-forge/umongo,,,92725.0,4319.0,4305.0,https://pypi.org/project/umongo,2021-12-23 08:52:40.000,14.0,92665.0,https://anaconda.org/conda-forge/umongo,2021-12-23 11:43:01.519,420.0,,,,,3.0,,,,,,,,,,,,
238,tabulator-py,frictionlessdata/tabulator-py,Python library for reading and writing tabular data via streams.,,data-loading,https://github.com/frictionlessdata/tabulator-py,https://github.com/frictionlessdata/tabulator-py,MIT,2015-08-24 05:34:38.000,2021-06-01 12:40:01.000,2021-03-22 13:33:48,657.0,,44,21.0,162.0,,178.0,223,2021-03-21 07:47:00.000,1.53.5,141.0,27.0,26,False,tabulator,conda-forge/tabulator-py,,,274954.0,816.0,743.0,https://pypi.org/project/tabulator,2021-03-21 07:47:00.000,73.0,274158.0,https://anaconda.org/conda-forge/tabulator-py,2018-07-24 12:57:07.018,46220.0,,,,,3.0,,,,,,,,,,,,
