,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,updated_github_id,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
177,Gooey,chriskiehl/Gooey,Turn (almost) any Python command line program into a full GUI application with one line.,,gui-dev,https://github.com/chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,MIT,2014-01-01 21:06:05.000000,2021-08-15 11:31:38.000000,2021-06-12 18:50:46.000000,773.0,405.0,14771.0,2021-06-12 18:51:56.000000,1.0.8.1,55.0,99.0,88.0,26,True,732.0,conda-forge/gooey,gooey,130.0,5086.0,480.0,416.0,https://pypi.org/project/gooey,2021-06-12 18:58:09.000000,64.0,3728.0,https://anaconda.org/conda-forge/gooey,2021-06-13 12:18:58.431000,37908.0,2.0,,,,,,,,,,
178,DearPyGui,hoffstadt/DearPyGui,Dear PyGui: A fast and powerful Graphical User Interface Toolkit for Python with minimal dependencies.,,gui-dev,https://github.com/hoffstadt/DearPyGui,https://github.com/hoffstadt/DearPyGui,MIT,2020-05-28 17:12:57.000000,2021-09-16 12:44:53.000000,2021-09-16 12:44:50.000000,266.0,597.0,5769.0,2021-08-16 02:17:56.000000,0.8.64,187.0,27.0,94.0,26,True,2354.0,,dearpygui,,5448.0,176.0,176.0,https://pypi.org/project/dearpygui,2021-08-16 02:17:56.000000,0.0,5448.0,,,,2.0,,,,,,,,,,
179,flexx,flexxui/flexx,Write desktop and web apps in pure Python.,,gui-dev,https://github.com/flexxui/flexx,https://github.com/flexxui/flexx,BSD-2-Clause,2014-09-03 08:38:00.000000,2021-09-16 11:36:30.000000,2021-09-16 11:35:28.000000,251.0,344.0,2747.0,2021-08-30 21:35:18.000000,0.8.2,16.0,37.0,78.0,26,True,1934.0,conda-forge/flexx,flexx,,2349.0,128.0,92.0,https://pypi.org/project/flexx,2021-09-16 11:36:30.000000,36.0,1027.0,https://anaconda.org/conda-forge/flexx,2021-08-31 07:45:09.808000,82015.0,2.0,,,,,,,,,,
180,plumbum,tomerfiliba/plumbum,Plumbum: Shell Combinators.,,infrastructure,https://github.com/tomerfiliba/plumbum,https://github.com/tomerfiliba/plumbum,MIT,2012-04-27 08:51:34.000000,2021-08-25 16:44:13.000000,2021-08-08 20:28:16.000000,158.0,214.0,2241.0,2021-02-08 19:49:00.000000,1.7.0,22.0,97.0,109.0,26,True,1168.0,conda-forge/plumbum,plumbum,,7880.0,620.0,,https://pypi.org/project/plumbum,2021-02-08 19:49:00.000000,620.0,,https://anaconda.org/conda-forge/plumbum,2021-02-08 22:52:58.886000,449208.0,3.0,,,,,,,,,,
181,mongo-connector,yougov/mongo-connector,MongoDB data stream pipeline tools by YouGov (adopted from MongoDB).,,db-clients,https://github.com/yougov/mongo-connector,https://github.com/yougov/mongo-connector,Apache-2.0,2012-08-09 23:39:36.000000,2021-09-05 21:01:26.000000,2018-12-05 18:23:06.000000,462.0,505.0,1815.0,2018-12-05 19:18:21.000000,3.1.1,51.0,62.0,241.0,26,False,1112.0,,mongo-connector,,11042.0,172.0,110.0,https://pypi.org/project/mongo-connector,2018-12-05 19:18:21.000000,62.0,11042.0,,,,3.0,,,,,,,,,,
182,pyfilesystem2,pyfilesystem/pyfilesystem2,Python's Filesystem abstraction layer.,,file-path-utils,https://github.com/PyFilesystem/pyfilesystem2,https://github.com/PyFilesystem/pyfilesystem2,MIT,2016-10-14 15:05:27.000000,2021-09-05 11:00:39.000000,2021-07-03 09:59:01.000000,141.0,249.0,1437.0,2021-03-27 17:23:04.000000,2.4.13,83.0,40.0,58.0,26,True,672.0,,fs,,390037.0,796.0,,https://pypi.org/project/fs,2021-03-27 17:20:59.000000,796.0,390037.0,,,,3.0,,,,,,,,,,
183,gin-config,google/gin-config,Gin provides a lightweight configuration framework for Python.,,configuration,https://github.com/google/gin-config,https://github.com/google/gin-config,Apache-2.0,2018-06-27 20:21:12.000000,2021-09-16 00:18:35.000000,2021-09-16 00:18:30.000000,91.0,34.0,1348.0,2020-11-24 01:03:23.000000,0.4.0,11.0,18.0,40.0,26,True,134.0,,gin-config,,825177.0,2818.0,2716.0,https://pypi.org/project/gin-config,2020-11-24 01:03:23.000000,102.0,825177.0,,,,3.0,,,,,,,,,,
184,cachetools,tkem/cachetools,Extensible memoizing collections and decorators.,,caching,https://github.com/tkem/cachetools,https://github.com/tkem/cachetools,MIT,2014-03-22 10:15:14.000000,2021-09-14 09:06:16.000000,2021-08-09 20:11:55.000000,113.0,174.0,1068.0,2021-04-27 21:19:55.000000,4.2.2,37.0,5.0,12.0,26,True,214.0,conda-forge/cachetools,cachetools,,53609.0,4436.0,,https://pypi.org/project/cachetools,2021-04-27 21:19:55.000000,4436.0,,https://anaconda.org/conda-forge/cachetools,2021-04-28 07:12:46.946000,3162947.0,2.0,,,,,,,,,,
185,argcomplete,kislyuk/argcomplete,"Python and tab completion, better together.",,cli-helpers,https://github.com/kislyuk/argcomplete,https://github.com/kislyuk/argcomplete,Apache-2.0,2012-11-19 15:37:34.000000,2021-08-01 23:42:17.000000,2021-05-12 23:13:46.000000,98.0,148.0,983.0,2021-04-19 15:48:18.000000,1.12.3,100.0,54.0,40.0,26,True,596.0,conda-forge/argcomplete,argcomplete,142.0,5038.0,14157.0,11333.0,https://pypi.org/project/argcomplete,2021-04-19 15:48:18.000000,2824.0,,https://anaconda.org/conda-forge/argcomplete,2021-04-22 22:01:32.082000,276999.0,3.0,,,,,,,,,,
186,jsonpickle,jsonpickle/jsonpickle,Python library for serializing any arbitrary object graph into JSON. It can take almost any Python object and turn the..,,serialization,https://github.com/jsonpickle/jsonpickle,https://github.com/jsonpickle/jsonpickle,BSD-3-Clause,2009-12-10 03:59:23.000000,2021-07-03 20:46:06.000000,2021-07-03 20:45:54.000000,141.0,184.0,962.0,2021-02-08 04:13:40.000000,2.0.0,29.0,62.0,60.0,26,True,,conda-forge/jsonpickle,jsonpickle,,7446853.0,3348.0,,https://pypi.org/project/jsonpickle,2021-02-08 04:13:40.000000,3348.0,7432264.0,https://anaconda.org/conda-forge/jsonpickle,2021-04-12 18:16:21.176000,714884.0,3.0,,,,,,,,,,
