,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,labels
157,funcy,Suor/funcy,A fancy and practical functional tools.,,utilities,https://github.com/Suor/funcy,https://github.com/Suor/funcy,BSD-3-Clause,2012-10-13 00:44:57.000,2020-09-26 18:07:31.665,2020-09-26 08:43:19.000,117,4.0,57.0,2440,2018-06-30 04:16:20.000,1.10.3,47.0,24,26,True,conda-forge/funcy,funcy,914.0,,196872.0,3363.0,2501.0,https://pypi.org/project/funcy,2020-09-26 12:02:17.000,862.0,194773.0,https://anaconda.org/conda-forge/funcy,2020-09-26 18:07:31.665,100776.0,3.0,,,
158,retrying,rholder/retrying,"Retrying is an Apache 2.0 licensed general-purpose retrying library, written in Python, to simplify the task of adding..",,utilities,https://github.com/rholder/retrying,https://github.com/rholder/retrying,Apache-2.0,2013-01-22 06:13:26.000,2020-05-06 14:04:51.000,2016-06-07 04:02:12.000,139,46.0,12.0,1638,2014-12-15 01:15:08.000,1.3.3,11.0,15,26,False,conda-forge/retrying,retrying,95.0,,3708675.0,3490.0,,https://pypi.org/project/retrying,2014-12-15 01:15:08.000,3490.0,3698869.0,https://anaconda.org/conda-forge/retrying,2018-07-16 11:28:10.934,509914.0,3.0,,,
159,PyPika,kayak/pypika,PyPika is a python SQL query builder that exposes the full richness of the SQL language using a syntax that reflects..,,db-clients,https://github.com/kayak/pypika,https://github.com/kayak/pypika,Apache-2.0,2016-07-06 14:08:50.000,2021-01-22 13:29:03.000,2021-01-22 13:28:14.000,141,55.0,216.0,1054,2021-01-22 13:28:43.000,0.47.4,200.0,71,26,True,,pypika,945.0,,321045.0,557.0,519.0,https://pypi.org/project/pypika,2021-01-22 13:28:43.000,38.0,321045.0,,,,3.0,,,
160,cx-Oracle,oracle/python-cx_Oracle,Python interface to Oracle Database conforming to the Python DB API 2.0 specification.,,db-clients,https://github.com/oracle/python-cx_Oracle,https://github.com/oracle/python-cx_Oracle,BSD-3-Clause,2017-03-07 04:03:36.000,2021-01-22 02:53:47.000,2021-01-22 02:53:29.000,250,39.0,473.0,699,2020-12-08 21:31:48.000,8.1.0,32.0,16,26,True,,cx-Oracle,1083.0,,808273.0,144.0,,https://pypi.org/project/cx-Oracle,2020-12-08 21:31:48.000,144.0,808273.0,,,,3.0,,,
161,dataclasses,ericvsmith/dataclasses,A backport of the dataclasses module for Python 3.6.,,compatibility,https://github.com/ericvsmith/dataclasses,https://github.com/ericvsmith/dataclasses,Apache-2.0,2017-05-19 20:46:27.000,2020-11-13 14:41:57.000,2020-11-13 14:26:05.000,40,11.0,108.0,475,,,8.0,11,26,True,conda-forge/dataclasses,dataclasses,287.0,,2671272.0,12167.0,11213.0,https://pypi.org/project/dataclasses,2020-11-13 14:40:29.000,954.0,2647339.0,https://anaconda.org/conda-forge/dataclasses,2020-10-07 12:55:35.859,765869.0,3.0,,,
162,python-rapidjson,python-rapidjson/python-rapidjson,Python wrapper around rapidjson.,,serialization,https://github.com/python-rapidjson/python-rapidjson,https://github.com/python-rapidjson/python-rapidjson,MIT,2015-09-09 04:02:42.000,2021-01-12 12:18:51.408,2020-12-13 09:54:09.000,34,7.0,86.0,412,2020-11-16 12:53:09.000,0.9.4,48.0,17,26,True,conda-forge/python-rapidjson,python-rapidjson,601.0,,214195.0,1225.0,933.0,https://pypi.org/project/python-rapidjson,2020-12-13 10:07:07.000,292.0,207134.0,https://anaconda.org/conda-forge/python-rapidjson,2021-01-12 12:18:51.408,338958.0,3.0,,,
163,pyscreenshot,ponty/pyscreenshot,"Python screenshot library, replacement for the Pillow ImageGrab module on Linux.",,others,https://github.com/ponty/pyscreenshot,https://github.com/ponty/pyscreenshot,BSD-2-Clause,2011-02-01 13:02:51.000,2021-01-16 21:26:48.000,2021-01-16 21:26:28.000,75,5.0,61.0,386,2018-12-21 10:20:02.000,0.5.1,21.0,22,26,True,,pyscreenshot,567.0,,88942.0,1423.0,999.0,https://pypi.org/project/pyscreenshot,2020-12-27 14:52:35.000,424.0,88942.0,,,,3.0,,,
164,cloudant,cloudant/python-cloudant,A Python library for Cloudant and CouchDB.,,db-clients,https://github.com/cloudant/python-cloudant,https://github.com/cloudant/python-cloudant,Apache-2.0,2015-08-28 16:22:49.000,2021-01-27 19:19:19.000,2021-01-08 17:17:26.000,46,39.0,240.0,158,2020-08-18 12:14:54.000,2.14.0,46.0,27,26,True,conda-forge/cloudant,cloudant,803.0,,34312.0,1828.0,1294.0,https://pypi.org/project/cloudant,2020-08-18 11:22:22.000,534.0,32942.0,https://anaconda.org/conda-forge/cloudant,2019-05-18 03:07:25.357,71252.0,3.0,,,
165,isodate,gweis/isodate,ISO 8601 date/time parser.,,date-time-utils,https://github.com/gweis/isodate,https://github.com/gweis/isodate,BSD-3-Clause,2012-10-29 23:32:06.000,2020-12-29 02:41:37.000,2018-08-02 23:45:26.000,34,20.0,11.0,90,2017-10-13 09:25:14.000,0.6.0,15.0,16,26,False,conda-forge/isodate,isodate,144.0,,12773288.0,13144.0,10206.0,https://pypi.org/project/isodate,2017-10-13 09:25:14.000,2938.0,12761211.0,https://anaconda.org/conda-forge/isodate,2018-08-04 23:15:08.700,700477.0,3.0,,,
166,pathlib2,mcmtroffaes/pathlib2,"Backport of pathlib aiming to support the full stdlib Python API. As of January 1 2020, this repository will no longer..",,compatibility,https://github.com/mcmtroffaes/pathlib2,https://github.com/mcmtroffaes/pathlib2,MIT,2014-10-18 08:28:33.000,2021-01-08 20:23:59.223,2020-01-07 11:01:48.000,16,,29.0,61,2019-09-27 07:33:53.000,2.3.5,11.0,11,26,False,conda-forge/pathlib2,pathlib2,394.0,,2642514.0,41313.0,33491.0,https://pypi.org/project/pathlib2,2019-09-27 07:33:53.000,7822.0,2612738.0,https://anaconda.org/conda-forge/pathlib2,2021-01-08 20:23:59.223,1607949.0,3.0,,,
167,micropython,micropython/micropython,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems.,,python-implementations,https://github.com/micropython/micropython,https://github.com/micropython/micropython,MIT,2013-12-20 11:47:07.000,2021-01-28 12:39:22.000,2021-01-27 05:59:58.000,3960,1242.0,2485.0,11834,2020-09-02 02:31:58.000,1.13,7.0,368,25,True,,,11932.0,13773.0,335.0,,,,,,,,,,2.0,,,
168,tink,google/tink,"Tink is a multi-language, cross-platform, open source library that provides cryptographic APIs that are secure, easy..",,cryptography,https://github.com/google/tink,https://github.com/google/tink,Apache-2.0,2014-06-06 16:21:09.000,2021-01-28 09:19:53.000,2021-01-27 09:50:05.000,896,64.0,249.0,10978,2020-10-16 02:54:17.000,1.5.0,18.0,83,25,True,,tink,3201.0,811.0,2283.0,3.0,3.0,https://pypi.org/project/tink,2020-10-15 01:41:53.000,,2263.0,,,,3.0,,,
169,DearPyGui,hoffstadt/DearPyGui,Dear PyGui: A fast and powerful Graphical User Interface Toolkit for Python with minimal dependencies.,,gui-dev,https://github.com/hoffstadt/DearPyGui,https://github.com/hoffstadt/DearPyGui,MIT,2020-05-28 17:12:57.000,2021-01-28 12:04:02.000,2021-01-28 10:50:59.000,183,56.0,258.0,4187,2021-01-27 11:00:01.000,0.6.149,111.0,20,25,True,,dearpygui,1529.0,,3946.0,52.0,52.0,https://pypi.org/project/dearpygui,2021-01-27 02:05:29.000,0.0,3946.0,,,,3.0,,,
170,toga,beeware/toga,"A Python native, OS native GUI toolkit.",,gui-dev,https://github.com/beeware/toga,https://github.com/beeware/toga,BSD-3-Clause,2014-08-01 21:44:10.000,2021-01-28 11:14:51.000,2021-01-26 05:20:13.000,465,102.0,344.0,2592,2017-08-14 18:29:09.000,0.2.15,46.0,184,25,True,,toga,4053.0,,829.0,44.0,,https://pypi.org/project/toga,2021-01-03 01:46:03.000,44.0,829.0,,,,3.0,,,
171,Pony,ponyorm/pony,Pony Object Relational Mapper.,,db-clients,https://github.com/ponyorm/pony,https://github.com/ponyorm/pony,Apache-2.0,2013-02-08 04:56:00.000,2021-01-20 14:55:02.000,2021-01-12 13:02:16.000,193,235.0,299.0,2447,2020-11-23 19:13:28.000,0.7.14,44.0,20,25,True,conda-forge/pony,pony,,,16331.0,2229.0,1691.0,https://pypi.org/project/pony,2020-11-23 18:56:34.000,538.0,15414.0,https://anaconda.org/conda-forge/pony,2020-11-23 21:18:14.049,44034.0,3.0,,,
