,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,updated_github_id,conda_dependent_project_count,trending,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
106,transitions,pytransitions/transitions,"A lightweight, object-oriented finite state machine implementation in Python with many extensions.",,algorithms,https://github.com/pytransitions/transitions,https://github.com/pytransitions/transitions,MIT,2014-10-12 20:59:09.000000,2021-11-04 12:20:52.000000,2021-10-04 15:34:02.000000,461.0,9.0,379.0,4012.0,2021-10-04 15:39:13.000000,0.8.10,44.0,69.0,29,True,913.0,conda-forge/transitions,transitions,,194239.0,2172.0,1820.0,https://pypi.org/project/transitions,2021-10-04 15:32:32.000000,352.0,191668.0,https://anaconda.org/conda-forge/transitions,2021-10-04 20:08:49.407000,74578.0,1.0,,,,,,,,,,
107,funcy,Suor/funcy,A fancy and practical functional tools.,,utilities,https://github.com/Suor/funcy,https://github.com/Suor/funcy,BSD-3-Clause,2012-10-13 00:44:57.000000,2021-10-14 06:28:12.000000,2021-10-14 06:28:11.000000,117.0,4.0,62.0,2668.0,2018-06-30 04:16:20.000000,1.10.3,48.0,28.0,29,True,943.0,conda-forge/funcy,funcy,,659640.0,4614.0,3752.0,https://pypi.org/project/funcy,2021-05-10 07:17:44.000000,862.0,656940.0,https://anaconda.org/conda-forge/funcy,2021-05-10 11:02:01.155000,156647.0,2.0,,,,,,,,,,
108,keyboard,boppreh/keyboard,Hook and simulate global keyboard events on Windows and Linux.,,others,https://github.com/boppreh/keyboard,https://github.com/boppreh/keyboard,MIT,2013-05-07 22:55:07.000000,2021-09-29 08:13:34.000000,2021-09-29 08:13:34.000000,303.0,278.0,167.0,2600.0,2020-03-23 21:47:05.000000,0.13.5,35.0,33.0,29,True,758.0,,keyboard,,219732.0,5104.0,4820.0,https://pypi.org/project/keyboard,2020-03-23 21:47:05.000000,284.0,219732.0,,,,3.0,,,,,,,,,,
109,orjson,ijl/orjson,"Fast, correct Python JSON library supporting dataclasses, datetimes, and numpy.",,serialization,https://github.com/ijl/orjson,https://github.com/ijl/orjson,Apache-2.0,2018-11-21 23:43:14.000000,2021-10-26 11:18:28.000000,2021-10-01 22:00:25.000000,88.0,21.0,162.0,2471.0,2021-10-01 22:21:12.000000,3.6.4,73.0,13.0,29,True,432.0,conda-forge/orjson,orjson,,2678923.0,4001.0,3973.0,https://pypi.org/project/orjson,2021-10-01 22:21:12.000000,28.0,2666719.0,https://anaconda.org/conda-forge/orjson,2021-10-02 17:05:09.835000,231889.0,2.0,,,,,,,,,,
110,schematics,schematics/schematics,Python Data Structures for Humans.,,data-validation,https://github.com/schematics/schematics,https://github.com/schematics/schematics,BSD-3-Clause,2010-12-27 02:25:29.000000,2021-08-23 19:39:00.000000,2021-08-17 21:08:10.000000,296.0,107.0,236.0,2452.0,2021-08-17 21:16:54.000000,2.1.1,24.0,117.0,29,True,1420.0,conda-forge/schematics,schematics,,154458.0,1635.0,1023.0,https://pypi.org/project/schematics,2021-08-17 21:16:54.000000,612.0,153691.0,https://anaconda.org/conda-forge/schematics,2019-07-17 17:13:38.920000,21483.0,3.0,,,,,,,,,,
111,python-sortedcontainers,grantjenks/python-sortedcontainers,"Python Sorted Container Types: Sorted List, Sorted Dict, and Sorted Set.",,data-structures,https://github.com/grantjenks/python-sortedcontainers,https://github.com/grantjenks/python-sortedcontainers,Apache-2.0,2014-02-24 17:44:20.000000,2021-10-13 05:29:23.000000,2021-10-13 05:29:22.000000,150.0,20.0,125.0,2330.0,2020-11-09 00:03:50.000000,2.3.0,40.0,20.0,29,True,613.0,,sortedcontainers,,10168444.0,3220.0,,https://pypi.org/project/sortedcontainers,2021-05-16 22:03:41.000000,3220.0,10168444.0,,,,2.0,,,,,,,,,,
112,plumbum,tomerfiliba/plumbum,Plumbum: Shell Combinators.,,infrastructure,https://github.com/tomerfiliba/plumbum,https://github.com/tomerfiliba/plumbum,MIT,2012-04-27 08:51:34.000000,2021-10-28 06:25:50.000000,2021-10-07 02:08:11.000000,160.0,111.0,214.0,2255.0,2021-02-08 19:49:00.000000,1.7.0,22.0,97.0,29,True,1173.0,conda-forge/plumbum,plumbum,,1191228.0,620.0,,https://pypi.org/project/plumbum,2021-02-08 19:49:00.000000,620.0,1182009.0,https://anaconda.org/conda-forge/plumbum,2021-02-08 22:52:58.886000,543940.0,3.0,,,,,,,,,,
113,aiofiles,Tinche/aiofiles,File support for asyncio.,,file-path-utils,https://github.com/Tinche/aiofiles,https://github.com/Tinche/aiofiles,Apache-2.0,2015-03-29 20:28:14.000000,2021-09-28 10:09:02.000000,2021-09-28 10:08:26.000000,120.0,42.0,37.0,1700.0,2021-05-16 23:16:25.000000,0.7.0,10.0,21.0,29,True,161.0,conda-forge/aiofiles,aiofiles,,7002724.0,1560.0,,https://pypi.org/project/aiofiles,2021-05-16 23:16:25.000000,1560.0,6998913.0,https://anaconda.org/conda-forge/aiofiles,2021-05-17 06:30:15.359000,186787.0,2.0,,,,,,,,,,
114,pygsheets,nithinmurali/pygsheets,Google Sheets Python API v4.,,db-clients,https://github.com/nithinmurali/pygsheets,https://github.com/nithinmurali/pygsheets,MIT,2016-06-06 17:20:44.000000,2021-10-06 10:39:43.000000,2021-10-06 10:39:43.000000,178.0,29.0,317.0,1220.0,2021-02-05 22:34:35.000000,2.0.5,17.0,73.0,29,True,1006.0,,pygsheets,,2290709.0,924.0,820.0,https://pypi.org/project/pygsheets,2021-02-05 22:34:35.000000,104.0,2290709.0,,,,3.0,,,,,,,,,,
115,deepdiff,seperman/deepdiff,Deep Difference and search of any Python object/data.,,inspect,https://github.com/seperman/deepdiff,https://github.com/seperman/deepdiff,MIT,2014-09-26 03:21:47.000000,2021-10-13 18:45:37.000000,2021-10-13 18:45:28.000000,148.0,33.0,136.0,1150.0,2021-10-13 06:47:24.000000,5.6.0,61.0,57.0,29,True,844.0,conda-forge/deepdiff,deepdiff,,3087075.0,3286.0,2470.0,https://pypi.org/project/deepdiff,2021-10-13 05:59:18.000000,816.0,3085797.0,https://anaconda.org/conda-forge/deepdiff,2021-04-29 23:02:26.418000,62626.0,1.0,,,,,,,,,,
116,cloudpickle,cloudpipe/cloudpickle,Extended pickling support for Python objects.,,serialization,https://github.com/cloudpipe/cloudpickle,https://github.com/cloudpipe/cloudpickle,BSD-3-Clause,2015-04-13 16:33:00.000000,2021-10-21 02:49:04.000000,2021-10-11 13:45:58.000000,116.0,67.0,141.0,1047.0,2021-09-14 07:30:48.000000,2.0.0,34.0,48.0,29,True,399.0,conda-forge/cloudpickle,cloudpickle,19.0,83694.0,47275.0,43173.0,https://pypi.org/project/cloudpickle,2021-09-10 10:52:14.000000,4102.0,,https://anaconda.org/conda-forge/cloudpickle,2021-09-10 11:30:24.587000,5691224.0,2.0,,,,,,,,,,
117,py2neo,py2neo-org/py2neo,Py2neo is a comprehensive Neo4j driver library and toolkit for Python.,,db-clients,https://github.com/py2neo-org/py2neo,https://github.com/py2neo-org/py2neo,Apache-2.0,2011-07-03 10:01:07.000000,2021-10-14 10:46:07.862000,2021-10-14 07:26:14.000000,218.0,9.0,745.0,1037.0,2021-10-14 07:46:17.000000,2021.2.3,114.0,33.0,29,True,2931.0,conda-forge/py2neo,py2neo,,102249.0,1114.0,,https://pypi.org/project/py2neo,2021-10-14 07:46:17.000000,1114.0,101491.0,https://anaconda.org/conda-forge/py2neo,2021-10-14 10:46:07.862000,40193.0,3.0,,,,,,,,,,
118,appdirs,ActiveState/appdirs,"A small Python module for determining appropriate platform-specific dirs, e.g. a user data dir.",,file-path-utils,https://github.com/ActiveState/appdirs,https://github.com/ActiveState/appdirs,MIT,2010-07-28 04:07:00.000000,2021-10-23 17:38:39.000000,2021-01-28 08:29:20.000000,76.0,43.0,54.0,800.0,2020-05-11 08:18:45.000000,1.4.4,8.0,33.0,29,True,220.0,conda-forge/appdirs,appdirs,,60139.0,166898.0,141312.0,https://pypi.org/project/appdirs,2020-05-11 07:59:49.000000,25586.0,,https://anaconda.org/conda-forge/appdirs,2020-10-19 11:55:35.692000,4089485.0,2.0,,,,,,,,,,
119,validators,kvesteri/validators,Python Data Validation for Humans.,,data-validation,https://github.com/kvesteri/validators,https://github.com/kvesteri/validators,MIT,2013-10-17 08:16:32.000000,2021-10-05 06:22:27.000000,2021-10-05 06:22:23.000000,100.0,97.0,32.0,534.0,2020-12-18 10:27:27.000000,0.18.2,36.0,38.0,29,True,224.0,conda-forge/validators,validators,,3032566.0,27631.0,25745.0,https://pypi.org/project/validators,2020-12-18 10:27:27.000000,1886.0,3031182.0,https://anaconda.org/conda-forge/validators,2020-12-18 12:58:27.348000,33222.0,3.0,,,,,,,,,,
120,s3fs,dask/s3fs,S3 Filesystem.,,db-clients,https://github.com/dask/s3fs,https://github.com/dask/s3fs,BSD-3-Clause,2016-03-16 00:19:32.000000,2021-11-04 10:55:15.000000,2021-10-25 18:27:10.000000,165.0,68.0,225.0,501.0,2021-10-15 15:08:10.000000,2021.10.1,41.0,79.0,29,True,,conda-forge/s3fs,s3fs,,17854609.0,5639.0,5191.0,https://pypi.org/project/s3fs,2021-10-15 15:08:10.000000,448.0,17818238.0,https://anaconda.org/conda-forge/s3fs,2021-10-15 18:29:45.342000,2400530.0,3.0,,,,,,,,,,
121,scandir,benhoyt/scandir,"Better directory iterator and faster os.walk(), now in the Python 3.5 stdlib.",,file-path-utils,https://github.com/benhoyt/scandir,https://github.com/benhoyt/scandir,BSD-3-Clause,2013-05-13 08:14:57.000000,2021-11-02 18:20:52.340000,2021-08-25 19:27:09.000000,60.0,11.0,88.0,487.0,2019-03-09 18:00:51.000000,1.10.0,16.0,21.0,29,True,450.0,conda-forge/scandir,scandir,,3588992.0,16729.0,12581.0,https://pypi.org/project/scandir,2019-03-09 17:58:19.000000,4148.0,3570876.0,https://anaconda.org/conda-forge/scandir,2021-11-02 18:20:52.340000,1159450.0,2.0,,,,,,,,,,
122,minio,minio/minio-py,MinIO Client SDK for Python.,,db-clients,https://github.com/minio/minio-py,https://github.com/minio/minio-py,Apache-2.0,2015-06-17 03:51:15.000000,2021-10-19 07:50:51.000000,2021-10-08 19:43:55.000000,203.0,3.0,430.0,455.0,2021-10-08 20:56:54.000000,7.1.1,90.0,96.0,29,True,1048.0,conda-forge/minio,minio,,917700.0,2281.0,1937.0,https://pypi.org/project/minio,2021-10-08 19:43:49.000000,344.0,916025.0,https://anaconda.org/conda-forge/minio,2021-10-08 22:41:43.015000,48581.0,3.0,,,,,,,,,,
123,srsly,explosion/srsly,"Modern high-performance serialization utilities for Python (JSON, MessagePack, Pickle).",,serialization,https://github.com/explosion/srsly,https://github.com/explosion/srsly,MIT,2018-12-01 03:21:56.000000,2021-11-02 11:18:03.542000,2021-10-22 08:35:20.000000,25.0,,21.0,242.0,2021-10-22 09:01:52.000000,2.4.2,32.0,11.0,29,True,261.0,conda-forge/srsly,srsly,,3772768.0,14450.0,14042.0,https://pypi.org/project/srsly,2021-10-22 09:01:52.000000,408.0,3756059.0,https://anaconda.org/conda-forge/srsly,2021-11-02 11:18:03.542000,551418.0,2.0,,,,,,,,,,
124,tzlocal,regebro/tzlocal,A Python module that tries to figure out what your local timezone is.,,date-time-utils,https://github.com/regebro/tzlocal,https://github.com/regebro/tzlocal,MIT,2012-09-11 12:34:21.000000,2021-10-29 16:37:52.091000,2021-10-29 12:36:44.000000,49.0,1.0,64.0,142.0,2021-10-26 13:46:12.000000,4.0.2,37.0,25.0,29,True,258.0,conda-forge/tzlocal,tzlocal,,15348609.0,6016.0,,https://pypi.org/project/tzlocal,2021-10-29 12:36:37.000000,6016.0,15337579.0,https://anaconda.org/conda-forge/tzlocal,2021-10-29 16:37:52.091000,716989.0,3.0,,,,,,,,,,
125,Records,kennethreitz/records,SQL for Humans.,,db-clients,https://github.com/kennethreitz/records,https://github.com/kennethreitz/records,ISC,2014-12-24 15:20:23.000000,2021-10-19 19:09:46.000000,2020-12-22 07:29:21.000000,557.0,61.0,81.0,6727.0,2019-02-21 13:34:41.000000,0.5.3,10.0,37.0,28,True,325.0,conda-forge/records,records,,206136.0,1125.0,825.0,https://pypi.org/project/records,2019-02-21 13:34:41.000000,300.0,205777.0,https://anaconda.org/conda-forge/records,2021-05-30 20:31:56.812000,19793.0,3.0,,,,,,,,,,
