,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
163,bidict,jab/bidict,The bidirectional mapping library for Python.,,data-structures,https://github.com/jab/bidict,https://github.com/jab/bidict,MPL-2.0,2014-09-23 14:00:27.000,2022-02-16 17:24:41.000,2022-02-16 17:24:19,513.0,51.0,44,13.0,186.0,45.0,1021,2021-10-23 20:54:27.000,0.21.4,39.0,11.0,2.0,30,True,bidict,conda-forge/bidict,,,602801.0,6594.0,6193.0,https://pypi.org/project/bidict,2021-10-23 20:52:58.000,401.0,601101.0,https://anaconda.org/conda-forge/bidict,2021-10-23 23:17:20.723,110505.0,,,,,2.0,,,,,,,,,,
164,anyio,agronholm/anyio,High level asynchronous concurrency and networking framework that works on top of either trio or asyncio.,,async,https://github.com/agronholm/anyio,https://github.com/agronholm/anyio,MIT,2018-08-19 21:07:18.000,2022-02-03 20:33:40.000,2022-01-11 08:42:11,660.0,29.0,61,21.0,181.0,193.0,810,2022-01-11 08:44:09.000,3.5.0,40.0,26.0,30.0,30,True,anyio,conda-forge/anyio,,,8702865.0,153.0,,https://pypi.org/project/anyio,2022-01-11 08:44:09.000,153.0,8663685.0,https://anaconda.org/conda-forge/anyio,2022-01-11 11:09:19.361,1136241.0,,,,,2.0,,,,,,,,,,
165,neo4j-driver,neo4j/neo4j-python-driver,Neo4j Bolt driver for Python.,,db-clients,https://github.com/neo4j/neo4j-python-driver,https://github.com/neo4j/neo4j-python-driver,Apache-2.0,2015-05-05 13:08:20.000,2022-02-17 11:02:50.000,2022-02-11 17:36:20,1264.0,36.0,143,94.0,474.0,186.0,689,2021-12-17 17:22:28.000,4.4.1,99.0,36.0,3.0,30,True,neo4j-driver,conda-forge/neo4j-python-driver,,,155189.0,225.0,,https://pypi.org/project/neo4j-driver,2022-01-03 10:38:36.000,225.0,152911.0,https://anaconda.org/conda-forge/neo4j-python-driver,2021-12-18 18:49:34.819,127616.0,,,,,3.0,,,,,,,,,,
166,cached-property,pydanny/cached-property,A decorator for caching properties in classes.,,caching,https://github.com/pydanny/cached-property,https://github.com/pydanny/cached-property,BSD-3-Clause,2014-05-17 22:42:24.000,2022-02-12 18:42:18.000,2020-10-21 17:48:31,219.0,,68,15.0,221.0,24.0,636,2020-09-21 21:24:10.000,1.5.2,17.0,23.0,35.0,30,False,cached-property,conda-forge/cached-property,,,15099331.0,25566.0,23665.0,https://pypi.org/project/cached-property,2020-09-21 18:39:25.000,1901.0,15070906.0,https://anaconda.org/conda-forge/cached-property,2021-03-08 13:20:13.927,1677098.0,,,,,2.0,,,,,,,,,,
167,scandir,benhoyt/scandir,"Better directory iterator and faster os.walk(), now in the Python 3.5 stdlib.",,file-path-utils,https://github.com/benhoyt/scandir,https://github.com/benhoyt/scandir,BSD-3-Clause,2013-05-13 08:14:57.000,2022-01-23 20:46:14.000,2022-01-23 20:18:18,454.0,4.0,62,25.0,45.0,90.0,495,2019-03-09 18:00:51.000,1.10.0,16.0,22.0,11.0,30,True,scandir,conda-forge/scandir,,,3945722.0,15168.0,12989.0,https://pypi.org/project/scandir,2019-03-09 17:58:19.000,2179.0,3928053.0,https://anaconda.org/conda-forge/scandir,2021-11-02 18:20:52.340,1183846.0,,,,,3.0,,,,,,,,,,
168,google-cloud-bigtable,googleapis/python-bigtable,Google Cloud Bigtable API client library.,,db-clients,https://github.com/googleapis/python-bigtable,https://github.com/googleapis/python-bigtable,Apache-2.0,2019-04-29 11:11:36.651,2022-02-16 23:56:52.000,2022-02-16 23:56:52,579.0,20.0,31,40.0,382.0,114.0,30,2022-02-07 17:46:12.000,2.5.0,43.0,60.0,15.0,30,False,google-cloud-bigtable,conda-forge/google-cloud-bigtable,,,19256402.0,2109.0,1886.0,https://pypi.org/project/google-cloud-bigtable,2022-02-07 17:46:12.000,223.0,19255303.0,https://anaconda.org/conda-forge/google-cloud-bigtable,2022-02-08 17:02:15.758,37384.0,,,,,3.0,,,,,,,,,,
169,algorithms,keon/algorithms,Minimal examples of data structures and algorithms in Python.,,algorithms,https://github.com/keon/algorithms,https://github.com/keon/algorithms,MIT,2016-11-17 22:32:08.000,2022-02-16 06:01:40.000,2022-02-16 06:00:43,933.0,7.0,4059,638.0,684.0,93.0,20378,2020-10-04 14:44:02.000,0.1.4,5.0,179.0,167.0,29,True,algorithms,conda-forge/algorithms,,,2190.0,71.0,57.0,https://pypi.org/project/algorithms,2020-10-04 14:44:02.000,14.0,2139.0,https://anaconda.org/conda-forge/algorithms,2021-04-23 14:22:33.326,515.0,,,,,3.0,,,,,,,,,,
170,Typer,tiangolo/typer,"Typer, build great CLIs. Easy to code. Based on Python type hints.",,cli-helpers,https://github.com/tiangolo/typer,https://github.com/tiangolo/typer,MIT,2019-12-24 12:24:11.000,2022-02-13 17:08:16.000,2022-02-13 17:08:15,283.0,6.0,264,61.0,135.0,96.0,7230,2021-08-30 08:58:56.000,0.4.0,19.0,9.0,149.0,29,True,typer,conda-forge/typer,,,4950954.0,817.0,,https://pypi.org/project/typer,2021-08-30 08:58:56.000,817.0,4935408.0,https://anaconda.org/conda-forge/typer,2021-08-30 12:33:31.060,342013.0,,,,,3.0,,,,,,,,,,
171,hydra,facebookresearch/hydra,Hydra is a framework for elegantly configuring complex applications.,,configuration,https://github.com/facebookresearch/hydra,https://github.com/facebookresearch/hydra,MIT,2019-06-12 19:33:15.000,2022-02-17 04:45:29.000,2022-02-17 04:42:54,1638.0,53.0,433,81.0,1034.0,877.0,5502,2021-08-19 20:51:08.000,1.1.1,17.0,88.0,124.0,29,True,hydra,conda-forge/hydra-core,,,25162.0,12.0,6.0,https://pypi.org/project/hydra,2016-08-03 13:21:51.000,6.0,10517.0,https://anaconda.org/conda-forge/hydra-core,2021-08-20 04:26:32.575,351501.0,,,,,3.0,,,,,,,,,,
172,Eel,ChrisKnott/Eel,A little Python library for making simple Electron-like HTML/JS GUI apps.,,gui-dev,https://github.com/ChrisKnott/Eel,https://github.com/ChrisKnott/Eel,MIT,2017-12-27 21:37:12.000,2022-02-12 12:01:32.000,2021-10-19 20:35:42,257.0,,487,134.0,130.0,306.0,4815,2020-08-17 18:18:21.000,0.14.0,36.0,38.0,137.0,29,True,eel,,,,43106.0,3154.0,3094.0,https://pypi.org/project/eel,2020-08-17 18:18:21.000,60.0,43106.0,,,,,,,,2.0,,,,,,,,,,
