,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,updated_github_id,labels
110,rsa,sybrenstuvel/python-rsa,Python-RSA is a pure-Python RSA implementation.,,cryptography,https://github.com/sybrenstuvel/python-rsa,https://github.com/sybrenstuvel/python-rsa,Apache-2.0,2016-01-21 12:53:34.000,2021-03-29 21:24:34.000,2021-03-29 21:24:28.000,63,17.0,82.0,310,2021-02-15 20:45:56.000,4.7.1,32.0,33,29,True,conda-forge/rsa,rsa,,,26409064.0,12666.0,,https://pypi.org/project/rsa,2021-02-15 20:45:56.000,12666.0,26354349.0,https://anaconda.org/conda-forge/rsa,2021-02-24 12:57:19.266,3118804.0,3.0,,,,
111,configobj,DiffSK/configobj,Python 3+ compatible port of the configobj library.,,configuration,https://github.com/DiffSK/configobj,https://github.com/DiffSK/configobj,BSD-3-Clause,2014-01-14 02:30:17.000,2021-02-26 23:52:05.000,2020-10-14 22:37:57.000,60,68.0,70.0,254,2016-08-26 14:28:03.000,5.0.6,16.0,22,29,True,conda-forge/configobj,configobj,309.0,,581156.0,18952.0,12778.0,https://pypi.org/project/configobj,2014-08-26 01:16:32.000,6174.0,574127.0,https://anaconda.org/conda-forge/configobj,2018-07-29 15:42:19.501,231989.0,2.0,,,,
112,pandas-gbq,pydata/pandas-gbq,Pandas Google BigQuery.,,db-clients,https://github.com/pydata/pandas-gbq,https://github.com/pydata/pandas-gbq,BSD-3-Clause,2017-02-08 13:07:19.000,2021-03-30 16:48:22.000,2021-03-30 16:47:16.000,87,34.0,158.0,244,2021-03-30 16:56:11.000,0.15.0,26.0,29,29,True,conda-forge/pandas-gbq,pandas-gbq,221.0,200.0,5603096.0,2460.0,2028.0,https://pypi.org/project/pandas-gbq,2020-11-10 17:13:26.000,432.0,5589110.0,https://anaconda.org/conda-forge/pandas-gbq,2020-11-11 15:55:18.257,685116.0,3.0,,,,
113,Send2Trash,arsenetar/send2trash,Python library to natively send files to Trash (or Recycle bin) on all platforms.,,others,https://github.com/arsenetar/send2trash,https://github.com/arsenetar/send2trash,BSD-3-Clause,2013-07-19 22:13:14.000,2021-03-18 02:52:08.000,2021-01-29 05:53:24.000,30,19.0,16.0,171,2018-02-16 15:00:15.000,1.5.0,9.0,13,29,True,conda-forge/send2trash,send2trash,104.0,,6483314.0,81095.0,76055.0,https://pypi.org/project/send2trash,2020-06-19 03:10:00.000,5040.0,6415955.0,https://anaconda.org/conda-forge/send2trash,2018-02-18 14:32:15.731,2627004.0,3.0,,,,
114,Records,kennethreitz42/records,SQL for Humans.,,db-clients,https://github.com/kenreitz42/records,https://github.com/kenreitz42/records,ISC,2014-12-24 15:20:23.000,2021-03-25 21:30:25.000,2020-12-22 07:29:21.000,547,43.0,81.0,6563,2019-02-21 13:34:41.000,0.5.3,10.0,37,28,True,conda-forge/records,records,325.0,,92427.0,1040.0,740.0,https://pypi.org/project/records,2019-02-21 13:34:41.000,300.0,92065.0,https://anaconda.org/conda-forge/records,2018-01-15 04:48:02.550,17405.0,3.0,,,kenreitz42/records,
115,dataset,pudo/dataset,"Easy-to-use data handling for SQL data stores with support for implicit table creation, bulk loading, and transactions.",,db-clients,https://github.com/pudo/dataset,https://github.com/pudo/dataset,MIT,2013-04-01 14:57:55.000,2021-03-31 02:54:02.000,2021-02-08 10:37:18.000,268,14.0,240.0,4005,2021-02-08 10:39:48.000,1.4.5,50.0,71,28,True,,dataset,667.0,,25323.0,2879.0,1851.0,https://pypi.org/project/dataset,2021-02-08 10:39:48.000,1028.0,25323.0,,,,3.0,,,,
116,clint,kennethreitz-archive/clint,Python Command-line Application Tools.,,cli-helpers,https://github.com/kennethreitz-archive/clint,https://github.com/kennethreitz-archive/clint,ISC,2010-10-12 02:40:00.000,2020-12-02 15:03:23.000,2017-09-02 04:38:47.000,226,32.0,41.0,2480,2015-08-25 16:13:43.000,0.5.1,17.0,64,28,False,conda-forge/clint,clint,372.0,93.0,145952.0,5260.0,3018.0,https://pypi.org/project/clint,2015-08-25 16:11:19.000,2242.0,145347.0,https://anaconda.org/conda-forge/clint,2018-07-09 09:37:09.782,35676.0,3.0,,,,
117,schematics,schematics/schematics,Python Data Structures for Humans.,,data-validation,https://github.com/schematics/schematics,https://github.com/schematics/schematics,BSD-3-Clause,2010-12-27 02:25:29.000,2020-11-27 08:10:29.000,2018-12-22 02:33:48.000,275,94.0,227.0,2406,2018-06-25 23:56:09.000,2.1.0,23.0,107,28,False,conda-forge/schematics,schematics,1381.0,,140826.0,1524.0,912.0,https://pypi.org/project/schematics,2018-06-25 23:56:09.000,612.0,140214.0,https://anaconda.org/conda-forge/schematics,2019-07-17 17:13:38.920,12871.0,3.0,,,,
118,python-sortedcontainers,grantjenks/python-sortedcontainers,"Python Sorted Container Types: Sorted List, Sorted Dict, and Sorted Set.",,data-structures,https://github.com/grantjenks/python-sortedcontainers,https://github.com/grantjenks/python-sortedcontainers,Apache-2.0,2014-02-24 17:44:20.000,2020-11-09 00:03:50.000,2020-11-09 00:00:08.000,140,20.0,117.0,2117,2020-11-09 00:03:50.000,2.3.0,39.0,19,28,True,,sortedcontainers,610.0,,3815677.0,3220.0,,https://pypi.org/project/sortedcontainers,2020-11-09 00:03:50.000,3220.0,3815677.0,,,,3.0,,,,
119,python-decouple,henriquebastos/python-decouple,Strict separation of config from code.,,configuration,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08.000,2021-01-05 16:16:35.790,2021-01-05 14:37:00.000,131,16.0,48.0,1684,2021-01-05 14:38:53.000,3.4,8.0,21,28,True,conda-forge/python-decouple,python-decouple,151.0,,106444.0,40645.0,34621.0,https://pypi.org/project/python-decouple,2021-01-05 14:39:25.000,6024.0,106046.0,https://anaconda.org/conda-forge/python-decouple,2021-01-05 16:16:35.790,17122.0,3.0,,,,
120,Ibis,ibis-project/ibis,"A pandas-like deferred expression system, with first-class SQL support.",,db-clients,https://github.com/ibis-project/ibis,https://github.com/ibis-project/ibis,Apache-2.0,2015-04-17 20:43:46.000,2021-04-01 14:23:01.000,2021-03-31 00:59:15.000,251,538.0,965.0,1519,2020-11-11 16:01:20.000,1.4.0,24.0,72,28,True,conda-forge/ibis-framework,ibis-framework,1399.0,,36517.0,201.0,153.0,https://pypi.org/project/ibis-framework,2020-11-11 16:01:20.000,48.0,33604.0,https://anaconda.org/conda-forge/ibis-framework,2020-11-13 03:18:14.785,174787.0,3.0,,,,
121,PyPika,kayak/pypika,PyPika is a python SQL query builder that exposes the full richness of the SQL language using a syntax that reflects..,,db-clients,https://github.com/kayak/pypika,https://github.com/kayak/pypika,Apache-2.0,2016-07-06 14:08:50.000,2021-03-24 14:37:07.000,2021-03-24 14:37:06.000,155,68.0,229.0,1152,2021-03-17 10:03:11.000,0.48.0,204.0,76,28,True,,pypika,967.0,,223900.0,673.0,635.0,https://pypi.org/project/pypika,2021-03-17 10:03:11.000,38.0,223900.0,,,,3.0,,,,
122,python-slugify,un33k/python-slugify,Returns unicode slugs.,,text,https://github.com/un33k/python-slugify,https://github.com/un33k/python-slugify,MIT,2012-10-15 01:44:50.000,2020-07-01 03:20:07.226,2020-06-30 03:22:04.000,81,,46.0,1011,2020-06-30 03:34:52.000,4.0.1,34.0,27,28,True,conda-forge/python-slugify,python-slugify,204.0,,927058.0,19717.0,15393.0,https://pypi.org/project/python-slugify,2020-06-30 03:34:52.000,4324.0,922206.0,https://anaconda.org/conda-forge/python-slugify,2020-07-01 03:20:07.226,266886.0,3.0,,,,
123,deepdiff,seperman/deepdiff,Deep Difference and search of any Python object/data.,,inspect,https://github.com/seperman/deepdiff,https://github.com/seperman/deepdiff,MIT,2014-09-26 03:21:47.000,2021-03-26 00:39:15.000,2021-02-16 20:18:34.000,127,25.0,115.0,1002,2021-02-16 20:47:54.000,5.2.3,58.0,50,28,True,conda-forge/deepdiff,deepdiff,779.0,,1092653.0,2698.0,1882.0,https://pypi.org/project/deepdiff,2021-02-16 20:02:40.000,816.0,1091711.0,https://anaconda.org/conda-forge/deepdiff,2021-02-16 22:36:49.325,39565.0,1.0,,,,
