,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,projectrank,show,fork_count,closed_issue_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing
20,ansible,ansible/ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and..,,infrastructure,https://github.com/ansible/ansible,https://github.com/ansible/ansible,GPL-3.0,2012-03-06 14:58:02.000,2021-01-12 03:28:53.000,2021-01-11 22:37:34.000,46431,2021-01-05 21:16:51.000,2.10.5,225.0,34,True,20063.0,27242.0,6330.0,conda-forge/ansible,ansible,2002.0,,,2885760.0,22928.0,15274.0,https://pypi.org/project/ansible,2021-01-05 21:16:51.000,7654.0,2879902.0,https://anaconda.org/conda-forge/ansible,2021-01-05 23:40:30.828,240191.0,3.0
21,arrow,arrow-py/arrow,Better dates & times for Python.,,date-time-utils,https://github.com/arrow-py/arrow,https://github.com/arrow-py/arrow,Apache-2.0,2012-11-18 20:23:27.000,2021-01-07 17:20:43.000,2021-01-07 17:20:42.000,6418,2020-10-06 20:47:04.000,0.17.0,53.0,34,True,543.0,349.0,230.0,conda-forge/arrow,arrow,47.0,1251.0,,1917585.0,24624.0,17202.0,https://pypi.org/project/arrow,2020-10-06 20:45:02.000,7422.0,1909606.0,https://anaconda.org/conda-forge/arrow,2020-10-12 18:31:14.221,446849.0,2.0
22,XlsxWriter,jmcnamara/XlsxWriter,A Python module for creating Excel XLSX files.,,file-formats,https://github.com/jmcnamara/XlsxWriter,https://github.com/jmcnamara/XlsxWriter,BSD-3-Clause,2013-01-04 01:07:06.000,2021-01-07 20:41:00.000,2021-01-07 20:40:50.000,2436,2020-10-13 08:17:32.000,1.3.7,137.0,34,True,510.0,671.0,43.0,conda-forge/xlsxwriter,xlsxwriter,11.0,1148.0,,4129881.0,36924.0,30740.0,https://pypi.org/project/xlsxwriter,2020-10-13 08:17:32.000,6184.0,4108491.0,https://anaconda.org/conda-forge/xlsxwriter,2020-10-13 10:12:02.147,941198.0,3.0
23,pexpect,pexpect/pexpect,A Python module for controlling interactive programs in a pseudo-terminal.,,process-utils,https://github.com/pexpect/pexpect,https://github.com/pexpect/pexpect,ISC,2013-09-17 17:36:44.000,2021-01-11 18:45:04.000,2020-05-16 18:24:44.000,1946,2020-01-21 16:37:03.000,4.8.0,17.0,34,True,414.0,255.0,91.0,conda-forge/pexpect,pexpect,145.0,1549.0,3930.0,12203394.0,146271.0,115569.0,https://pypi.org/project/pexpect,2020-01-21 16:37:03.000,30702.0,12135462.0,https://anaconda.org/conda-forge/pexpect,2020-10-12 20:49:05.189,3869606.0,1.0
24,pycryptodomex,Legrandin/pycryptodome,A self-contained cryptographic library for Python.,,cryptography,https://github.com/Legrandin/pycryptodome,https://github.com/Legrandin/pycryptodome,BSD-3-Clause,2014-05-02 15:11:38.000,2021-01-11 15:14:25.277,2021-01-04 22:25:49.000,1445,2020-11-02 09:53:47.000,3.9.9,34.0,34,True,271.0,330.0,102.0,conda-forge/pycryptodomex,pycryptodomex,58.0,2515.0,,3961517.0,22309.0,20767.0,https://pypi.org/project/pycryptodomex,2020-11-02 09:53:47.000,1542.0,3953446.0,https://anaconda.org/conda-forge/pycryptodomex,2021-01-11 15:14:25.277,298660.0,2.0
25,future,PythonCharmers/python-future,"Easy, clean, reliable Python 2/3 compatibility.",,compatibility,https://github.com/PythonCharmers/python-future,https://github.com/PythonCharmers/python-future,MIT,2013-07-14 13:57:47.000,2021-01-08 23:20:36.090,2020-11-27 05:54:10.000,1104,2020-06-13 02:43:44.000,0.18.2,50.0,34,True,249.0,194.0,104.0,conda-forge/future,future,186.0,1831.0,,15691428.0,148419.0,120051.0,https://pypi.org/project/future,2019-10-31 00:58:13.000,28368.0,15638230.0,https://anaconda.org/conda-forge/future,2021-01-08 23:20:36.090,2872729.0,1.0
26,six,benjaminp/six,Python 2 and 3 compatibility library.,,compatibility,https://github.com/benjaminp/six,https://github.com/benjaminp/six,MIT,2016-05-10 07:24:51.054,2021-01-03 23:11:48.000,2021-01-03 16:35:12.000,729,2020-05-21 15:25:54.000,1.15.0,27.0,34,True,184.0,171.0,61.0,conda-forge/six,six,104.0,516.0,,74052704.0,996002.0,751982.0,https://pypi.org/project/six,2020-05-21 15:25:54.000,244020.0,73819986.0,https://anaconda.org/conda-forge/six,2020-05-21 17:15:14.356,13032239.0,1.0
27,traitlets,ipython/traitlets,A lightweight Traits like module.,,configuration,https://github.com/ipython/traitlets,https://github.com/ipython/traitlets,BSD-3-Clause,2013-12-06 20:45:45.000,2020-11-19 10:36:16.000,2020-10-15 10:38:47.000,399,2020-10-15 10:39:45.000,5.0.5,24.0,34,True,152.0,135.0,97.0,conda-forge/traitlets,traitlets,70.0,1645.0,,10671360.0,160832.0,132808.0,https://pypi.org/project/traitlets,2020-10-15 10:39:45.000,28024.0,10576265.0,https://anaconda.org/conda-forge/traitlets,2020-10-15 14:20:57.286,5420440.0,1.0
28,flatbuffers,google/flatbuffers,FlatBuffers: Memory Efficient Serialization Library.,,serialization,https://github.com/google/flatbuffers,https://github.com/google/flatbuffers,Apache-2.0,2014-05-19 18:33:01.000,2021-01-11 22:28:59.000,2021-01-11 20:24:52.000,15618,2020-03-12 22:47:55.000,1.12.0,17.0,33,True,2401.0,1420.0,462.0,conda-forge/flatbuffers,flatbuffers,171.0,2142.0,26565.0,1603674.0,903.0,731.0,https://pypi.org/project/flatbuffers,2020-03-12 23:34:51.000,172.0,1599421.0,https://anaconda.org/conda-forge/flatbuffers,2020-11-23 13:28:55.262,219391.0,1.0
29,cookiecutter,cookiecutter/cookiecutter,"A command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects,..",,cli-helpers,https://github.com/cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,BSD-3-Clause,2013-07-14 18:31:22.000,2021-01-12 03:38:12.000,2020-12-26 04:18:09.000,13607,2020-04-21 03:35:23.000,1.7.2,28.0,33,True,1384.0,460.0,247.0,conda-forge/cookiecutter,cookiecutter,180.0,2671.0,,440202.0,9500.0,7190.0,https://pypi.org/project/cookiecutter,2020-04-21 03:34:31.000,2310.0,437884.0,https://anaconda.org/conda-forge/cookiecutter,2020-04-26 16:44:26.880,129831.0,2.0
30,watchdog,gorakhargosh/watchdog,Python library and shell utilities to monitor filesystem events.,,file-path-utils,https://github.com/gorakhargosh/watchdog,https://github.com/gorakhargosh/watchdog,Apache-2.0,2010-10-23 12:00:17.000,2021-01-09 16:58:16.980,2021-01-06 10:50:24.000,4516,2020-12-18 11:36:28.000,1.0.2,23.0,33,True,540.0,352.0,105.0,conda-forge/watchdog,watchdog,138.0,1268.0,,1795672.0,42339.0,28487.0,https://pypi.org/project/watchdog,2020-12-18 11:15:26.000,13852.0,1789516.0,https://anaconda.org/conda-forge/watchdog,2021-01-09 16:58:16.980,326296.0,1.0
