,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,updated_github_id,labels
105,tenacity,jd/tenacity,Retrying library for Python.,,utilities,https://github.com/jd/tenacity,https://github.com/jd/tenacity,Apache-2.0,2016-08-11 12:44:02.000,2021-06-13 19:39:16.000,2021-05-26 12:33:19.000,166,51.0,117.0,3064,2020-12-16 19:21:05.000,6.3.1,44.0,62,29,True,conda-forge/tenacity,tenacity,420.0,,12567305.0,792.0,,https://pypi.org/project/tenacity,2020-12-16 19:21:05.000,792.0,12552402.0,https://anaconda.org/conda-forge/tenacity,2021-03-03 19:53:49.601,730259.0,2.0,,,,
106,funcy,Suor/funcy,A fancy and practical functional tools.,,utilities,https://github.com/Suor/funcy,https://github.com/Suor/funcy,BSD-3-Clause,2012-10-13 00:44:57.000,2021-05-10 11:02:01.155,2021-05-10 05:38:37.000,116,3.0,59.0,2578,2018-06-30 04:16:20.000,1.10.3,48.0,26,29,True,conda-forge/funcy,funcy,932.0,,487372.0,3974.0,3112.0,https://pypi.org/project/funcy,2021-05-10 07:17:44.000,862.0,484963.0,https://anaconda.org/conda-forge/funcy,2021-05-10 11:02:01.155,127722.0,2.0,,,,
107,schematics,schematics/schematics,Python Data Structures for Humans.,,data-validation,https://github.com/schematics/schematics,https://github.com/schematics/schematics,BSD-3-Clause,2010-12-27 02:25:29.000,2021-06-14 15:05:44.000,2018-12-22 02:33:48.000,275,96.0,227.0,2423,2018-06-25 23:56:09.000,2.1.0,23.0,107,29,False,conda-forge/schematics,schematics,1381.0,,311980.0,1562.0,950.0,https://pypi.org/project/schematics,2018-06-25 23:56:09.000,612.0,311305.0,https://anaconda.org/conda-forge/schematics,2019-07-17 17:13:38.920,15525.0,2.0,,,,
108,keyboard,boppreh/keyboard,Hook and simulate global keyboard events on Windows and Linux.,,others,https://github.com/boppreh/keyboard,https://github.com/boppreh/keyboard,MIT,2013-05-07 22:55:07.000,2021-05-31 10:38:20.000,2021-05-31 10:38:14.000,285,261.0,154.0,2410,2020-03-23 21:47:05.000,0.13.5,35.0,30,29,True,,keyboard,749.0,,142957.0,3949.0,3665.0,https://pypi.org/project/keyboard,2020-03-23 21:47:05.000,284.0,142957.0,,,,3.0,,,,
109,Databases,encode/databases,Async database support for Python.,,db-clients,https://github.com/encode/databases,https://github.com/encode/databases,BSD-3-Clause,2019-02-01 10:55:25.000,2021-06-12 16:04:59.000,2021-05-13 12:01:44.000,152,96.0,114.0,2249,2021-03-26 15:18:14.000,0.4.3,30.0,28,29,True,conda-forge/databases,databases,273.0,,97189.0,2146.0,2086.0,https://pypi.org/project/databases,2021-03-14 15:06:41.000,60.0,93507.0,https://anaconda.org/conda-forge/databases,2021-04-26 20:22:26.327,103101.0,3.0,,,,
110,Dynaconf,rochacbruno/dynaconf,Configuration Management for Python.,,configuration,https://github.com/rochacbruno/dynaconf,https://github.com/rochacbruno/dynaconf,MIT,2015-08-14 21:25:22.000,2021-06-14 09:18:43.000,2021-03-15 16:07:22.000,169,63.0,214.0,1785,2021-03-08 18:36:39.000,3.1.4,73.0,62,29,True,conda-forge/dynaconf,dynaconf,531.0,,297231.0,1347.0,1255.0,https://pypi.org/project/dynaconf,2021-03-08 18:36:14.000,92.0,297093.0,https://anaconda.org/conda-forge/dynaconf,2021-03-08 20:56:49.094,1108.0,2.0,,,,
111,libcloud,apache/libcloud,Apache Libcloud is a Python library which hides differences between different cloud provider APIs and allows you to..,,db-clients,https://github.com/apache/libcloud,https://github.com/apache/libcloud,Apache-2.0,2009-12-11 09:00:14.000,2021-06-16 11:54:22.000,2021-05-21 19:04:54.000,880,45.0,74.0,1768,2021-01-25 22:11:48.000,3.3.1,63.0,422,29,True,,apache-libcloud,,,461281.0,3352.0,1810.0,https://pypi.org/project/apache-libcloud,2021-01-25 22:11:48.000,1542.0,461281.0,,,,3.0,,,,
112,python-decouple,henriquebastos/python-decouple,Strict separation of config from code.,,configuration,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08.000,2021-06-08 02:54:52.000,2021-06-05 16:32:27.000,138,16.0,56.0,1765,2021-01-05 14:38:53.000,3.4,8.0,24,29,True,conda-forge/python-decouple,python-decouple,157.0,,407882.0,45803.0,39779.0,https://pypi.org/project/python-decouple,2021-01-05 14:39:25.000,6024.0,407383.0,https://anaconda.org/conda-forge/python-decouple,2021-01-05 16:16:35.790,22486.0,2.0,,,,
113,voluptuous,alecthomas/voluptuous,"CONTRIBUTIONS ONLY: Voluptuous, despite the name, is a Python data validation library.",,data-validation,https://github.com/alecthomas/voluptuous,https://github.com/alecthomas/voluptuous,BSD-3-Clause,2010-07-15 09:55:10.000,2021-02-19 23:05:05.000,2021-02-19 23:05:05.000,189,40.0,193.0,1684,2020-12-06 23:04:56.000,0.12.1,43.0,86,29,True,conda-forge/voluptuous,voluptuous,442.0,,1021595.0,5636.0,3412.0,https://pypi.org/project/voluptuous,2020-12-06 23:04:56.000,2224.0,1019696.0,https://anaconda.org/conda-forge/voluptuous,2020-12-30 07:03:19.353,112044.0,2.0,,,,
114,humanize,jmoiron/humanize,python humanize functions.,,text,https://github.com/jmoiron/humanize,https://github.com/jmoiron/humanize,MIT,2011-10-07 23:44:01.000,2021-06-15 11:17:06.193,2021-06-15 08:09:50.000,144,25.0,51.0,1416,2021-06-15 08:13:42.000,3.9.0,29.0,49,29,True,conda-forge/humanize,humanize,421.0,,2002762.0,2904.0,,https://pypi.org/project/humanize,2021-06-15 08:12:38.000,2904.0,2000056.0,https://anaconda.org/conda-forge/humanize,2021-06-15 11:17:06.193,162413.0,3.0,,,,
