,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,new_addition,labels
41,cookiecutter,cookiecutter/cookiecutter,"A command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects,..",,others,https://github.com/cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,BSD-3-Clause,2013-07-14 18:31:22.000,2021-02-02 19:03:43.000,2020-12-26 04:18:09.000,1400,192.0,463.0,13780,2020-04-21 03:35:23.000,1.7.2,28.0,247,33,True,conda-forge/cookiecutter,cookiecutter,2671.0,,384692.0,9681.0,7371.0,https://pypi.org/project/cookiecutter,2020-04-21 03:34:31.000,2310.0,382342.0,https://anaconda.org/conda-forge/cookiecutter,2020-04-26 16:44:26.880,134004.0,1.0,,,,
42,watchdog,gorakhargosh/watchdog,Python library and shell utilities to monitor filesystem events.,,file-path-utils,https://github.com/gorakhargosh/watchdog,https://github.com/gorakhargosh/watchdog,Apache-2.0,2010-10-23 12:00:17.000,2021-02-03 13:03:02.000,2021-02-03 13:03:01.000,540,138.0,360.0,4573,2020-12-18 11:36:28.000,1.0.2,23.0,106,33,True,conda-forge/watchdog,watchdog,1272.0,,1417903.0,43321.0,29469.0,https://pypi.org/project/watchdog,2020-12-18 11:15:26.000,13852.0,1411313.0,https://anaconda.org/conda-forge/watchdog,2021-01-09 16:58:16.980,355876.0,1.0,,,,
43,toolz,pytoolz/toolz,A functional standard library for Python.,,utilities,https://github.com/pytoolz/toolz,https://github.com/pytoolz/toolz,BSD-3-Clause,2013-09-13 02:18:43.000,2021-01-21 21:16:50.000,2020-09-24 15:39:55.000,210,95.0,130.0,3430,2020-09-24 15:50:48.000,0.11.1,24.0,69,33,True,conda-forge/toolz,toolz,1155.0,,2864891.0,39842.0,34322.0,https://pypi.org/project/toolz,2020-09-24 15:50:48.000,5520.0,2801744.0,https://anaconda.org/conda-forge/toolz,2020-09-24 19:02:07.101,3536243.0,1.0,,,,
44,ultrajson,ultrajson/ultrajson,Ultra fast JSON decoder and encoder written in C with Python bindings.,,serialization,https://github.com/ultrajson/ultrajson,https://github.com/ultrajson/ultrajson,BSD-3-Clause,2011-02-27 20:00:51.000,2021-02-03 16:47:15.000,2020-11-16 13:43:14.000,305,38.0,254.0,3132,2021-01-21 15:21:55.000,4.0.2,24.0,71,33,True,,ujson,607.0,,5663583.0,26522.0,19966.0,https://pypi.org/project/ujson,2021-01-21 15:25:16.000,6556.0,5663583.0,,,,1.0,,,,
45,XlsxWriter,jmcnamara/XlsxWriter,A Python module for creating Excel XLSX files.,,file-formats,https://github.com/jmcnamara/XlsxWriter,https://github.com/jmcnamara/XlsxWriter,BSD-3-Clause,2013-01-04 01:07:06.000,2021-02-02 17:00:05.000,2021-01-07 20:40:50.000,510,14.0,676.0,2456,2020-10-13 08:17:32.000,1.3.7,137.0,43,33,True,conda-forge/xlsxwriter,xlsxwriter,1148.0,,2731355.0,37800.0,31616.0,https://pypi.org/project/xlsxwriter,2020-10-13 08:17:32.000,6184.0,2709414.0,https://anaconda.org/conda-forge/xlsxwriter,2020-10-13 10:12:02.147,987362.0,3.0,,,,
46,azure-storage-blob,Azure/azure-sdk-for-python,This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting..,,db-clients,https://github.com/Azure/azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,MIT,2012-04-24 16:46:12.000,2021-02-04 13:25:29.000,2021-02-04 09:04:22.000,1184,818.0,3480.0,1787,2021-02-04 09:49:15.000,azure-mgmt-kusto_1.0.0,100.0,303,33,True,conda-forge/azure-storage-blob,azure-storage-blob,7857.0,43.0,9059691.0,1905.0,1525.0,https://pypi.org/project/azure-storage-blob,2021-01-21 03:42:54.000,380.0,9054868.0,https://anaconda.org/conda-forge/azure-storage-blob,2021-01-21 11:16:13.753,148863.0,2.0,,,,
47,more-itertools,more-itertools/more-itertools,"More routines for operating on iterables, beyond itertools.",,utilities,https://github.com/more-itertools/more-itertools,https://github.com/more-itertools/more-itertools,MIT,2012-04-26 05:15:14.000,2021-02-02 15:57:50.000,2021-02-02 15:57:49.000,148,10.0,140.0,1772,2020-10-30 13:51:58.000,8.6.0,32.0,68,33,True,conda-forge/more-itertools,more-itertools,1079.0,2009.0,4939929.0,110646.0,95738.0,https://pypi.org/project/more-itertools,2020-10-30 13:50:51.000,14908.0,4839385.0,https://anaconda.org/conda-forge/more-itertools,2020-10-30 15:31:09.885,4623163.0,1.0,,,,
48,pycryptodomex,Legrandin/pycryptodome,A self-contained cryptographic library for Python.,,cryptography,https://github.com/Legrandin/pycryptodome,https://github.com/Legrandin/pycryptodome,BSD-3-Clause,2014-05-02 15:11:38.000,2021-01-17 19:42:24.000,2021-01-17 19:42:01.000,276,54.0,334.0,1466,2020-11-02 09:53:47.000,3.9.9,34.0,103,33,True,conda-forge/pycryptodomex,pycryptodomex,2518.0,,3053506.0,23386.0,21844.0,https://pypi.org/project/pycryptodomex,2020-11-02 09:53:47.000,1542.0,3045376.0,https://anaconda.org/conda-forge/pycryptodomex,2021-01-11 15:14:25.277,308962.0,2.0,,,,
49,simplejson,simplejson/simplejson,"simplejson is a simple, fast, extensible JSON encoder/decoder for Python.",,serialization,https://github.com/simplejson/simplejson,https://github.com/simplejson/simplejson,MIT,2011-02-06 05:47:45.000,2021-01-09 03:09:29.622,2020-12-29 14:51:58.000,302,15.0,159.0,1358,2020-07-16 18:33:53.000,3.17.2,95.0,36,33,True,conda-forge/simplejson,simplejson,592.0,5151.0,6178956.0,95915.0,56923.0,https://pypi.org/project/simplejson,2020-07-16 18:33:53.000,38992.0,6157440.0,https://anaconda.org/conda-forge/simplejson,2021-01-09 03:09:29.622,921549.0,1.0,,,,
50,rich,willmcgugan/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,,cli-helpers,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000,2021-02-03 12:23:02.000,2021-02-03 12:23:01.000,604,10.0,356.0,20907,2021-01-27 20:58:25.000,9.10.0,112.0,72,32,True,conda-forge/rich,rich,1628.0,,495670.0,2210.0,2210.0,https://pypi.org/project/rich,2021-01-27 20:56:26.000,0.0,485112.0,https://anaconda.org/conda-forge/rich,2021-01-27 22:49:10.188,73906.0,2.0,,,,
