,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,projectrank,show,fork_count,closed_issue_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,labels,trending
97,clint,kennethreitz-archive/clint,Python Command-line Application Tools.,,cli-helpers,https://github.com/kennethreitz-archive/clint,https://github.com/kennethreitz-archive/clint,ISC,2010-10-12 02:40:00.000,2020-12-02 15:03:23.000,2017-09-02 04:38:47.000,2480,2015-08-25 16:13:43.000,0.5.1,17.0,29,False,226.0,41.0,64.0,conda-forge/clint,clint,32.0,372.0,92.0,155721.0,4850.0,2858.0,https://pypi.org/project/clint,2015-08-25 16:11:19.000,1992.0,155115.0,https://anaconda.org/conda-forge/clint,2018-07-09 09:37:09.782,33904.0,3.0,,,
98,schematics,schematics/schematics,Python Data Structures for Humans.,,data-validation,https://github.com/schematics/schematics,https://github.com/schematics/schematics,BSD-3-Clause,2010-12-27 02:25:29.000,2020-11-27 08:10:29.000,2018-12-22 02:33:48.000,2387,2018-06-25 23:56:09.000,2.1.0,23.0,29,False,273.0,227.0,107.0,conda-forge/schematics,schematics,95.0,1381.0,,212774.0,1419.0,875.0,https://pypi.org/project/schematics,2018-06-25 23:56:09.000,544.0,212202.0,https://anaconda.org/conda-forge/schematics,2019-07-17 17:13:38.920,10311.0,2.0,,,
99,schema,keleshev/schema,Schema validation just got Pythonic.,,data-validation,https://github.com/keleshev/schema,https://github.com/keleshev/schema,MIT,2012-08-19 18:56:20.000,2020-11-25 07:01:14.000,2020-10-04 02:30:19.000,2256,2020-07-31 12:02:49.000,0.7.3,23.0,29,True,158.0,60.0,59.0,conda-forge/schema,schema,64.0,388.0,,461357.0,3371.0,2361.0,https://pypi.org/project/schema,2020-07-31 11:58:14.000,1010.0,460316.0,https://anaconda.org/conda-forge/schema,2020-07-31 18:43:08.790,18739.0,2.0,,,
100,confluent-kafka-python,confluentinc/confluent-kafka-python,Confluent's Kafka Python Client.,,db-clients,https://github.com/confluentinc/confluent-kafka-python,https://github.com/confluentinc/confluent-kafka-python,Apache-2.0,2016-04-14 07:40:41.000,2021-01-14 08:40:18.000,2021-01-14 08:40:11.000,2102,2020-07-22 08:23:51.000,1.5.0,20.0,29,True,556.0,472.0,66.0,,confluent-kafka,230.0,633.0,,983888.0,2283.0,1981.0,https://pypi.org/project/confluent-kafka,2020-07-22 07:50:57.000,302.0,983888.0,,,,3.0,,,
101,addict,mewwts/addict,The Python Dict that's better than heroin.,,data-structures,https://github.com/mewwts/addict,https://github.com/mewwts/addict,MIT,2014-12-10 06:55:25.000,2021-01-05 07:16:39.000,2021-01-05 07:16:38.000,1990,2020-11-21 16:20:20.000,2.4.0,31.0,29,True,122.0,62.0,31.0,conda-forge/addict,addict,6.0,229.0,14.0,1284699.0,1612.0,1242.0,https://pypi.org/project/addict,2020-11-21 16:21:29.000,370.0,1281587.0,https://anaconda.org/conda-forge/addict,2020-10-11 11:33:21.339,168090.0,2.0,,,
102,python-sortedcontainers,grantjenks/python-sortedcontainers,"Python Sorted Container Types: Sorted List, Sorted Dict, and Sorted Set.",,data-structures,https://github.com/grantjenks/python-sortedcontainers,https://github.com/grantjenks/python-sortedcontainers,Apache-2.0,2014-02-24 17:44:20.000,2020-11-09 00:03:50.000,2020-11-09 00:00:08.000,1988,2020-11-09 00:03:50.000,2.3.0,39.0,29,True,127.0,113.0,19.0,,sortedcontainers,19.0,610.0,,7203759.0,3220.0,,https://pypi.org/project/sortedcontainers,2020-11-09 00:03:50.000,3220.0,7203759.0,,,,2.0,,,
103,python-decouple,henriquebastos/python-decouple,Strict separation of config from code.,,configuration,https://github.com/henriquebastos/python-decouple,https://github.com/henriquebastos/python-decouple,MIT,2014-02-25 04:16:08.000,2021-01-05 16:16:35.790,2021-01-05 14:37:00.000,1594,2021-01-05 14:38:53.000,3.4,8.0,29,True,130.0,47.0,21.0,conda-forge/python-decouple,python-decouple,16.0,151.0,,131575.0,36399.0,30375.0,https://pypi.org/project/python-decouple,2021-01-05 14:39:25.000,6024.0,131287.0,https://anaconda.org/conda-forge/python-decouple,2021-01-05 16:16:35.790,11533.0,2.0,,,
104,PynamoDB,pynamodb/PynamoDB,A pythonic interface to Amazon's DynamoDB.,,db-clients,https://github.com/pynamodb/PynamoDB,https://github.com/pynamodb/PynamoDB,MIT,2014-01-20 02:18:35.000,2021-01-05 16:07:02.000,2021-01-05 16:07:01.000,1456,2020-08-14 20:45:41.000,4.3.3,70.0,29,True,338.0,254.0,87.0,conda-forge/pynamodb,pynamodb,195.0,728.0,,329708.0,880.0,644.0,https://pypi.org/project/pynamodb,2020-11-06 00:27:01.000,236.0,326536.0,https://anaconda.org/conda-forge/pynamodb,2020-08-14 21:37:25.131,53929.0,3.0,,,
105,aiofiles,Tinche/aiofiles,File support for asyncio.,,file-path-utils,https://github.com/Tinche/aiofiles,https://github.com/Tinche/aiofiles,Apache-2.0,2015-03-29 20:28:14.000,2020-12-06 12:37:19.000,2020-10-27 17:37:34.000,1413,2020-10-27 17:36:43.000,0.6.0,9.0,29,True,100.0,27.0,18.0,conda-forge/aiofiles,aiofiles,39.0,109.0,,5237678.0,13877.0,12317.0,https://pypi.org/project/aiofiles,2020-10-27 17:36:43.000,1560.0,5233958.0,https://anaconda.org/conda-forge/aiofiles,2020-10-28 12:43:19.642,145111.0,2.0,,,
106,humanize,jmoiron/humanize,python humanize functions.,,text,https://github.com/jmoiron/humanize,https://github.com/jmoiron/humanize,MIT,2011-10-07 23:44:01.000,2020-12-12 18:31:59.345,2020-12-12 17:10:37.000,1298,2020-12-12 17:34:26.000,3.2.0,19.0,29,True,136.0,43.0,42.0,conda-forge/humanize,humanize,21.0,377.0,,1132729.0,2904.0,,https://pypi.org/project/humanize,2020-10-19 20:03:31.000,2904.0,1130380.0,https://anaconda.org/conda-forge/humanize,2020-12-12 18:31:59.345,129247.0,2.0,,,
107,py2neo,technige/py2neo,Py2neo is a comprehensive toolkit for working with Neo4j from within Python applications or from the command line.,,db-clients,https://github.com/technige/py2neo,https://github.com/technige/py2neo,Apache-2.0,2011-07-03 10:01:07.000,2021-01-08 07:45:24.000,2020-12-21 21:32:51.000,958,2020-11-21 09:50:58.000,2020.1.1,102.0,29,True,196.0,689.0,33.0,conda-forge/py2neo,py2neo,25.0,2735.0,,72986.0,1114.0,,https://pypi.org/project/py2neo,2020-11-21 09:51:22.000,1114.0,72249.0,https://anaconda.org/conda-forge/py2neo,2019-03-17 09:26:49.366,31713.0,3.0,,,
108,argcomplete,kislyuk/argcomplete,"Python and tab completion, better together.",,cli-helpers,https://github.com/kislyuk/argcomplete,https://github.com/kislyuk/argcomplete,Apache-2.0,2012-11-19 15:37:34.000,2021-01-12 00:59:45.000,2020-12-18 23:14:18.000,924,2020-11-24 04:10:47.000,1.12.2,99.0,29,True,99.0,143.0,52.0,conda-forge/argcomplete,argcomplete,36.0,596.0,124.0,2233780.0,11172.0,8348.0,https://pypi.org/project/argcomplete,2020-11-24 04:10:47.000,2824.0,2230434.0,https://anaconda.org/conda-forge/argcomplete,2020-11-24 07:29:57.001,157178.0,3.0,,,
109,redis-py-cluster,grokzen/redis-py-cluster,Python cluster client for the official redis cluster. Redis 3.0+.,,db-clients,https://github.com/Grokzen/redis-py-cluster,https://github.com/Grokzen/redis-py-cluster,MIT,2013-05-21 06:41:34.000,2020-12-26 12:24:08.000,2020-12-26 12:24:07.000,918,2020-09-25 23:10:37.000,2.1.0,16.0,29,True,277.0,212.0,67.0,,redis-py-cluster,23.0,721.0,2283.0,950644.0,1076.0,782.0,https://pypi.org/project/redis-py-cluster,2020-09-25 23:07:19.000,294.0,950613.0,,,,3.0,,,
110,jsonpickle,jsonpickle/jsonpickle,Python library for serializing any arbitrary object graph into JSON. It can take almost any Python object and turn the..,,serialization,https://github.com/jsonpickle/jsonpickle,https://github.com/jsonpickle/jsonpickle,BSD-3-Clause,2009-12-10 03:59:23.000,2021-01-14 10:35:47.000,2020-11-30 04:54:20.000,888,2020-11-30 03:21:53.000,1.4.2,25.0,29,True,138.0,169.0,56.0,conda-forge/jsonpickle,jsonpickle,68.0,1057.0,,3664249.0,3348.0,,https://pypi.org/project/jsonpickle,2020-11-30 03:21:53.000,3348.0,3650662.0,https://anaconda.org/conda-forge/jsonpickle,2020-04-22 18:31:13.089,557086.0,3.0,,,
111,cachetools,tkem/cachetools,Extensible memoizing collections and decorators.,,caching,https://github.com/tkem/cachetools,https://github.com/tkem/cachetools,MIT,2014-03-22 10:15:14.000,2020-12-11 06:55:21.000,2020-12-10 20:25:58.000,843,2020-12-10 22:46:12.000,4.2.0,35.0,29,True,95.0,159.0,5.0,conda-forge/cachetools,cachetools,12.0,197.0,,20094054.0,4436.0,,https://pypi.org/project/cachetools,2020-12-10 22:46:12.000,4436.0,20057478.0,https://anaconda.org/conda-forge/cachetools,2020-06-29 08:49:42.259,1865413.0,1.0,,,
112,py4j,bartdag/py4j,Py4J enables Python programs to dynamically access arbitrary Java objects.,,others,https://github.com/bartdag/py4j,https://github.com/bartdag/py4j,BSD-3-Clause,2010-11-02 20:58:18.000,2020-12-08 15:21:22.000,2020-09-07 14:38:47.000,780,2020-01-25 14:40:31.000,0.10.9,26.0,29,True,146.0,241.0,28.0,conda-forge/py4j,py4j,120.0,738.0,,7509923.0,5950.0,4868.0,https://pypi.org/project/py4j,2020-09-07 15:43:56.000,1082.0,7495985.0,https://anaconda.org/conda-forge/py4j,2020-06-10 17:37:08.340,738717.0,3.0,,,
113,holidays,dr-prodigy/python-holidays,Generate and work with holidays in Python.,,date-time-utils,https://github.com/dr-prodigy/python-holidays,https://github.com/dr-prodigy/python-holidays,MIT,2014-08-24 15:17:18.000,2020-12-23 19:21:12.000,2020-12-06 10:55:48.000,507,2020-12-06 10:52:07.000,0.10.4,28.0,29,True,225.0,156.0,131.0,conda-forge/holidays,holidays,17.0,682.0,147.0,1212129.0,2829.0,2271.0,https://pypi.org/project/holidays,2020-12-06 10:52:07.000,558.0,1195331.0,https://anaconda.org/conda-forge/holidays,2020-12-06 17:00:59.704,403146.0,3.0,,,
114,validators,kvesteri/validators,Python Data Validation for Humans.,,data-validation,https://github.com/kvesteri/validators,https://github.com/kvesteri/validators,MIT,2013-10-17 08:16:32.000,2020-12-30 14:53:40.000,2020-12-18 10:25:08.000,439,2020-12-18 10:27:27.000,0.18.2,36.0,29,True,86.0,32.0,37.0,conda-forge/validators,validators,84.0,222.0,,717100.0,11687.0,9801.0,https://pypi.org/project/validators,2020-12-18 10:27:27.000,1886.0,716428.0,https://anaconda.org/conda-forge/validators,2020-12-18 12:58:27.348,9416.0,2.0,,,
115,s3fs,dask/s3fs,S3 Filesystem.,,db-clients,https://github.com/dask/s3fs,https://github.com/dask/s3fs,BSD-3-Clause,2016-03-16 00:19:32.000,2021-01-13 15:04:55.000,2021-01-13 15:04:54.000,369,2020-12-15 16:46:38.000,0.5.2,30.0,29,True,132.0,173.0,58.0,conda-forge/s3fs,s3fs,49.0,662.0,,4648114.0,2692.0,2244.0,https://pypi.org/project/s3fs,2020-12-15 16:46:38.000,448.0,4624080.0,https://anaconda.org/conda-forge/s3fs,2020-12-15 18:58:02.251,1345958.0,3.0,,,
116,configobj,DiffSK/configobj,Python 3+ compatible port of the configobj library.,,configuration,https://github.com/DiffSK/configobj,https://github.com/DiffSK/configobj,BSD-3-Clause,2014-01-14 02:30:17.000,2020-12-23 18:13:47.000,2020-10-14 22:37:57.000,245,2016-08-26 14:28:03.000,5.0.6,16.0,29,True,57.0,70.0,22.0,conda-forge/configobj,configobj,68.0,309.0,,895854.0,17750.0,11788.0,https://pypi.org/project/configobj,2014-08-26 01:16:32.000,5962.0,889210.0,https://anaconda.org/conda-forge/configobj,2018-07-29 15:42:19.501,199322.0,2.0,,,
117,pandas-gbq,pydata/pandas-gbq,Pandas Google BigQuery.,,db-clients,https://github.com/pydata/pandas-gbq,https://github.com/pydata/pandas-gbq,BSD-3-Clause,2017-02-08 13:07:19.000,2021-01-13 20:05:13.000,2020-12-17 21:26:00.000,235,2020-11-10 17:16:31.000,0.14.1,26.0,29,True,84.0,156.0,29.0,conda-forge/pandas-gbq,pandas-gbq,33.0,217.0,192.0,7366199.0,2168.0,1736.0,https://pypi.org/project/pandas-gbq,2020-11-10 17:13:26.000,432.0,7352596.0,https://anaconda.org/conda-forge/pandas-gbq,2020-11-11 15:55:18.257,625537.0,3.0,,,
118,wcwidth,jquast/wcwidth,Python library that measures the width of unicode strings rendered to a terminal.,,cli-helpers,https://github.com/jquast/wcwidth,https://github.com/jquast/wcwidth,MIT,2014-04-05 09:57:11.000,2020-09-24 16:45:20.691,2020-07-14 14:20:26.000,193,2020-06-23 16:10:28.000,0.2.5,17.0,29,True,35.0,19.0,11.0,conda-forge/wcwidth,wcwidth,7.0,219.0,,7409448.0,183657.0,158323.0,https://pypi.org/project/wcwidth,2020-06-23 16:10:28.000,25334.0,7325175.0,https://anaconda.org/conda-forge/wcwidth,2020-09-24 16:45:20.691,5140688.0,3.0,,,
